,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000831,*ST五稀,224.6378,0.272,462.2085,8.7214,906.8564
1,300397,天和防务,135.9499,,,,
2,000668,荣丰控股,77.8082,0.1172,,0.2248,49.0687
3,600291,西水股份,36.0049,0.1209,14.9502,0.1621,17.1012
4,600545,新疆城建,9.3014,0.0519,,0.0704,7.7949
5,300156,神雾环保,9.1969,0.0224,,0.0512,5.3279
6,600759,洲际油气,6.6749,0.018,,0.0282,4.7092
7,600715,文投控股,5.4618,0.0076,,0.0078,1.9579
8,600696,匹凸匹,5.4352,0.0514,229.1456,0.1149,11.516
9,600215,长春经开,3.9537,0.0266,,0.0569,6.4099
10,000609,绵石投资,3.7009,0.0186,,0.0477,4.7919
11,600603,*ST兴业,2.752,0.026,,0.0306,3.9151
12,600606,绿地控股,2.6724,0.0184,,0.0292,4.4434
13,300164,通源石油,2.1822,0.0238,,0.1113,17.6452
14,600393,粤泰股份,2.031,0.0503,52.0141,0.073,9.0875
15,000534,万泽股份,1.9637,0.0539,8.0217,0.0997,15.8291
16,000952,广济药业,1.8885,0.1105,,0.2075,23.367
17,300450,先导智能,1.8406,,,,
18,002322,理工环科,1.7035,0.0353,63.3007,1.1595,115.9503
19,600643,爱建集团,1.5832,0.0134,0.8326,0.0574,11.0354
20,000037,*ST南电A,1.5634,0.0469,,0.069,7.0549
21,000546,金圆股份,1.5462,0.0405,,0.1631,20.8092
22,000711,京蓝科技,1.5454,0.0263,,0.0396,8.1911
23,000691,ST亚太,1.5223,0.0157,12.9006,0.0377,4.5325
24,002629,仁智油服,1.4852,0.114,,0.4304,43.0429
25,600053,九鼎投资,1.3637,0.0368,18.3067,0.0517,5.924
26,600598,北大荒,1.2984,0.224,3.0189,0.4789,50.8866
27,603636,南威软件,1.2558,,,,
28,600773,西藏城投,1.2527,0.0575,38.0581,0.0672,17.4459
29,600751,天海投资,1.2049,0.1538,,0.1593,15.9349
30,600892,大晟文化,1.1448,0.2441,,0.2779,28.7882
31,000766,通化金马,1.0807,0.0438,2.5186,0.1063,11.2836
32,000547,航天发展,1.0611,0.038,1.8554,0.102,20.5694
33,002140,东华科技,1.0545,0.0657,13.8018,0.0969,9.6879
34,002166,莱茵生物,1.0327,0.0615,64.4736,0.0747,15.6077
35,600193,创兴资源,1.0135,0.0161,,0.0391,7.6514
36,600791,京能置业,0.9728,0.0501,7.0239,0.0695,14.4838
37,000151,中成股份,0.9389,0.0865,9.2735,0.1358,13.6202
38,300382,斯莱克,0.8997,0.0656,2.9931,0.2403,24.1836
39,300369,绿盟科技,0.8762,0.0463,,0.1694,16.9378
40,000651,格力电器,0.8562,0.1545,9.2826,0.2132,21.6538
41,600506,香梨股份,0.8324,0.0677,,1.1503,289.37
42,002287,奇正藏药,0.7953,0.0738,2.3656,1.2291,244.7375
43,002487,大金重工,0.7722,0.021,4.0841,0.102,16.1016
44,600020,中原高速,0.7679,0.0151,4.7107,0.0189,6.8729
45,000415,渤海金控,0.7615,0.0197,4.3916,0.0246,7.2387
