,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603843,正平股份,0.08,,,3.76,-1.6,2399.31,,,09-02
1,603986,兆易创新,0.83,,,13.9,,6236.72,,,08-31
2,603069,海汽集团,0.21,,,7.74,,5021.12,,,08-30
3,600977,中国电影,0.32,,,10.91,,45045.7,,,08-30
4,603726,朗迪集团,0.56,,,9.88,,3978.25,,,08-29
5,002789,建艺集团,0.65,,,7.49,,3954.22,,,08-29
6,603919,金徽酒,0.32,,,11.87,,7759.62,,,08-29
7,603520,司太立,0.47,,,9.7,,4202.71,,,08-27
8,300517,海波重科,0.22,,,5.95,0.33,1694.04,,,08-27
9,002805,丰元股份,0.26,,,4.93,,1886.96,,,08-27
10,300509,新美星,0.41,,,9.01,0.09,2480.56,,,08-27
11,300515,三德科技,0.23,,,8.39,0.09,1733.79,,,08-27
12,603029,天鹅股份,0.17,,,2.52,,1181.16,,,08-26
13,300511,雪榕生物,-0.11,,,-2.4,0.22,-1226.42,,,08-26
14,603027,千禾味业,0.27,,,7.78,,3246.27,,,08-26
15,603701,德宏股份,0.51,,,11.75,,2996.51,,,08-26
16,300508,维宏股份,0.68,,,18.75,0.63,3053.46,,,08-26
17,603528,多伦科技,1.09,,,36.71,,16965.47,,,08-26
18,300516,久之洋,0.56,,,15.86,0.17,5071.72,,,08-26
19,603822,嘉澳环保,0.34,,,4.9,,1854.02,,,08-25
20,300521,爱司凯,0.24,,,7.32,0.21,1421.85,,,08-25
21,603028,赛福天,0.14,,,6.2,,2299.35,,,08-25
22,300538,同益股份,,,,,,1655.67,,,08-25
23,601966,玲珑轮胎,0.04,-92.86,,0.83,,3764.18,-93.25,,08-24
24,300518,盛讯达,0.59,,,9.94,0.28,4114.18,,,08-24
25,300513,恒泰实达,0.16,,,3.33,-0.5,906.32,,,08-24
26,002791,坚朗五金,0.47,,,6.63,,7975.64,,,08-24
27,300484,蓝海华腾,0.7,,,13.64,-0.4,2746.89,,,08-23
28,002792,通宇通讯,0.8,,,16.08,,14464.1,,,08-23
29,300474,景嘉微,0.41,,,12.71,-0.24,4138.32,,,08-23
30,001979,招商蛇口,,,,,,179523.5,,,08-23
31,002800,天顺股份,0.23,,,5.17,,1295.41,,,08-20
32,603861,白云电器,0.13,,,3.8,,4672.9,,,08-19
33,300502,新易盛,0.88,,,11.25,-0.65,5141.55,,,08-19
34,002793,东音股份,0.66,,,15.89,,4946.76,,,08-19
35,603959,百利科技,0.16,,,6.53,,2606.1,,,08-18
36,603868,飞科电器,0.61,,,28.9,,24065.84,,,08-18
37,002799,环球印务,0.27,,,6.8,,1988.21,,,08-18
38,300522,世名科技,0.47,,,12.44,0.34,2343.38,,,08-18
39,002795,永和智控,0.43,,,15.06,,3192.69,,,08-18
40,603515,欧普照明,0.26,,,8.81,0.03,13705.49,,,08-18
41,601595,上海电影,0.36,,,15.82,0.65,10075.03,,,08-16
42,601020,华钰矿业,0.16,100.0,,7.6,,7410.18,86.87,,08-16
43,603779,威龙股份,0.07,,,2.26,,1113.74,,,08-16
44,300510,金冠电气,0.25,,,6.03,-0.07,1657.17,,,08-16
45,603958,哈森股份,0.52,,,14.87,,8580.89,,,08-13
46,600936,广西广电,0.19,,,10.51,0.14,26239.74,,,08-12
47,300507,苏奥传感,0.82,,,14.44,0.68,4075.59,,,08-12
48,300535,达威股份,0.42,,,6.7,1.0,1866.81,,,08-11
49,002808,苏州恒久,0.19,,,6.24,0.06,1704.39,,,08-11
50,002790,瑞尔特,0.57,,,12.83,,6871.4,,,08-10
51,300512,中亚股份,0.7,,,15.54,-0.26,7094.55,,,08-10
52,300503,昊志机电,0.21,-25.0,,4.46,-0.08,1873.67,-11.31,,08-10
53,002796,世嘉科技,0.39,,,9.95,,2352.93,,,08-09
54,300501,海顺新材,0.82,,,13.86,0.3,3284.84,,,08-08
55,300528,幸福蓝海,0.25,,,4.76,0.75,5747.37,,,08-05
56,603101,汇嘉时代,0.26,,,8.29,,4737.3,,,08-05
57,300527,华舟应急,0.17,,,7.03,-0.58,5875.73,,,08-04
58,603798,康普顿,0.63,,,17.05,,4749.26,,,08-03
59,300519,新光药业,0.92,,,21.78,1.23,5544.5,,,08-02
60,600919,江苏银行,0.47,,,8.4,,491797.4,,,08-01
61,300526,中潜股份,0.25,-19.35,,6.74,0.64,1598.32,-19.2,,08-01
62,300505,川金诺,0.21,,,4.43,-0.0,1436.04,,,07-29
63,300506,名家汇,0.25,,,9.39,-0.12,2217.09,,,07-28
64,002801,微光股份,0.87,,,10.99,,3849.71,,,07-28
65,002788,鹭燕医药,0.56,,,8.07,,5397.63,,,07-26
66,300523,辰安科技,0.16,,,3.93,-0.62,973.8,,,07-25
67,300520,科大国创,0.11,,,3.35,-0.5,752.07,,,07-07
68,603159,上海亚虹,0.23,,2.52,9.69,0.23,1749.75,,,02-04
69,300537,广信材料,0.28,,2.96,9.81,0.18,2078.14,,,01-22
70,300543,朗科智能,0.66,,4.86,13.98,0.56,2961.23,,,01-22
71,603608,天创时尚,0.27,,3.82,7.11,0.27,5642.89,,,01-22
72,300500,苏州设计,0.6,,7.32,8.45,-0.4,2697.96,,,01-21
73,300499,高澜股份,0.28,,5.74,5.12,-1.31,1430.75,,,01-20
74,603377,东方时尚,0.5,,,26.96,0.57,18407.89,,,01-20
75,601900,南方传媒,0.27,,,8.73,0.7,17586.96,,,01-20
76,300533,冰川网络,1.34,,5.82,23.96,1.07,10015.68,,,01-15
77,300539,横河模具,0.18,,2.7,6.76,0.4,1292.12,,,12-29
