,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600696,匹凸匹,12700.9506,-0.0336,,-0.0628,-6.2796
1,600291,西水股份,1713.7942,0.4848,32.6566,0.5594,57.2463
2,000712,锦龙股份,434.7972,0.2358,6.1587,0.2985,35.1351
3,600715,文投控股,138.9116,0.4374,,0.3681,56.2599
4,600061,国投安信,26.7272,0.188,13.8126,0.2168,25.8038
5,300028,金亚科技,2.7129,0.4376,,0.652,66.0723
6,000046,泛海控股,2.5917,0.0551,6.2728,0.0635,11.5057
7,000727,华东科技,2.3019,0.0307,,0.0807,25.2168
8,600503,华丽家族,2.2751,0.0226,10.3491,0.0755,7.5487
9,300309,吉艾科技,2.2043,0.0806,10.5912,0.1899,19.059
10,600773,西藏城投,2.0974,0.0377,12.5294,0.0504,8.0386
11,000502,绿景控股,2.0417,0.086,,0.3354,33.5448
12,600874,创业环保,2.0384,0.1865,10.4667,0.3231,93.8577
13,600683,京投发展,1.9603,0.0416,,0.0447,6.2062
14,300059,东方财富,1.924,0.1534,2.8992,0.1798,17.9849
15,300167,迪威视讯,1.8083,0.0907,,0.2417,27.1991
16,300033,同花顺,1.4621,0.2211,2.6439,0.46,46.3726
17,000633,*ST合金,1.414,0.1686,,0.7328,617.9318
18,600643,爱建集团,1.3777,0.0236,0.7754,0.0533,9.9578
19,000611,*ST天首,1.3635,0.0303,,0.1235,12.3518
20,000548,湖南投资,1.236,0.0517,,0.1966,19.6754
21,600106,重庆路桥,1.2206,0.0257,1.3199,0.0442,31.4207
22,600629,华建集团,1.2051,0.1642,,0.5503,67.4282
23,600053,九鼎投资,1.1941,0.0775,7.3427,0.1167,11.7129
24,600520,*ST中发,1.1267,0.1343,,0.3327,36.6204
25,600714,金瑞矿业,1.107,0.1621,,0.2949,51.6519
26,000007,全新好,1.0872,0.1207,,0.3583,38.8573
27,600033,福建高速,1.0347,0.0685,3.1023,0.1364,29.7555
28,600767,运盛医疗,1.0293,0.0186,,0.0505,5.3715
