,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300543,朗科智能,1.18,25.53,4.55,29.73,1.44,5327.33,25.95,,08-23
1,002811,亚泰国际,0.83,7.79,3.7,24.74,0.26,11213.25,7.64,,08-22
2,300539,横河模具,0.31,-24.39,2.59,12.67,0.44,2199.31,-23.85,,08-11
3,603658,安图生物,0.55,66.67,1.33,49.97,0.68,20822.11,67.82,,08-11
4,300538,同益股份,0.97,1.04,3.77,28.38,0.64,4071.54,0.69,,08-10
5,300537,广信材料,0.54,-17.75,2.68,20.73,0.57,4016.48,-17.75,,08-09
6,002809,红墙股份,1.35,35.0,5.83,25.86,0.87,8074.23,34.53,,08-09
7,300540,深冷股份,1.18,15.69,4.11,33.28,-0.9,7059.37,15.32,,08-08
8,002810,山东赫达,0.77,-11.49,4.99,16.68,1.13,5498.87,-11.58,,08-08
9,603090,宏盛股份,0.47,-3.53,3.07,15.78,0.43,3488.07,-3.54,,08-08
10,603031,安德利,0.6,-32.58,,13.36,0.77,3609.19,-32.26,,08-08
11,603515,欧普照明,0.56,-38.46,3.05,19.35,0.27,29325.71,-38.41,,07-29
12,300533,冰川网络,2.1,24.26,5.32,48.39,3.19,15760.51,24.45,,07-29
13,300535,达威股份,0.9,18.42,6.1,15.76,0.43,4017.45,17.32,,07-28
14,300532,今天国际,1.17,25.81,5.33,24.19,-0.79,7382.6,25.68,,07-28
15,603986,兆易创新,1.31,45.56,5.6,25.78,1.27,9812.25,45.69,,07-28
16,601595,上海电影,0.58,16.0,2.12,30.44,0.88,16140.06,15.07,,07-27
17,300530,达志科技,0.72,0.0,4.11,19.17,0.75,3774.27,0.28,,07-27
18,601997,贵阳银行,1.35,35.0,,26.44,7.58,243573.6,35.03,,07-27
19,002807,江阴银行,0.53,-18.19,,14.12,3.22,81792.4,-18.18,,07-26
20,600936,广西广电,0.26,4.0,,15.38,0.65,35947.91,5.96,,07-26
21,603843,正平股份,0.39,44.44,3.42,20.62,0.84,11706.59,42.69,,07-25
22,603159,上海亚虹,0.28,-42.86,2.29,13.1,0.35,2111.8,-42.28,,07-25
23,300531,优博讯,0.79,3.95,3.44,24.93,-0.31,4722.91,2.96,,07-25
24,002808,苏州恒久,0.47,7.36,2.94,17.01,0.45,4205.26,7.45,,07-25
25,603569,长久物流,0.74,54.17,4.71,36.06,1.94,26494.95,51.91,,07-21
26,600977,中国电影,0.35,15.36,2.79,13.44,0.71,49370.82,15.29,,07-20
27,601811,新华文轩,0.56,1.82,5.25,11.19,0.77,63278.74,1.59,,07-19
28,300528,幸福蓝海,0.35,-28.57,,7.21,1.14,8210.33,-28.25,,07-18
29,300527,华舟应急,0.3,17.37,2.32,14.2,1.24,10535.44,17.31,,07-15
30,300529,健帆生物,0.43,26.47,,41.35,0.37,16004.82,26.24,,07-14
31,603322,超讯通信,,,3.34,15.15,1.03,2853.67,66.25,,07-14
32,603007,花王股份,0.56,-1.75,,18.28,-0.79,5562.65,-2.51,,07-14
33,300525,博思软件,0.61,12.23,3.79,17.77,0.57,3118.53,12.24,,07-13
34,300526,中潜股份,0.51,-23.88,3.54,15.36,0.8,3215.41,-24.86,,07-13
35,002806,华锋股份,0.27,-35.11,3.35,8.41,0.31,1620.02,-35.11,,07-12
36,300523,辰安科技,0.59,-19.18,4.05,15.3,0.62,3568.35,-19.08,,07-11
37,603663,三祥新材,0.3,-14.29,,14.62,0.41,3034.13,-14.87,,07-11
38,002803,吉宏股份,,,,8.58,0.18,1908.39,-47.47,,06-22
39,300521,爱司凯,0.62,-11.43,3.12,22.24,0.22,3745.88,-11.32,,06-22
40,300522,世名科技,0.89,12.66,3.61,26.5,0.51,4464.8,12.6,,06-21
41,603069,海汽集团,0.28,12.0,,11.16,1.15,6580.1,12.42,,06-21
42,300520,科大国创,0.49,-20.97,3.23,16.15,0.31,3346.93,-22.09,,06-20
43,600919,江苏银行,0.84,-2.33,,16.76,16.89,868494.7,6.1,,06-20
44,002805,丰元股份,0.47,62.07,,8.88,0.32,3420.51,61.87,,06-20
45,601966,玲珑轮胎,0.83,-15.31,4.54,19.99,0.77,83417.07,-14.88,,06-13
46,603016,新宏泰,0.61,-3.17,3.53,18.92,0.68,6775.06,-3.46,,06-08
47,002802,洪汇新材,0.38,-25.49,,14.01,0.32,3088.59,-25.5,,06-07
48,002801,微光股份,1.61,15.83,,23.4,1.47,7087.84,15.45,,06-07
49,603958,哈森股份,0.64,-26.44,,20.95,1.55,10437.51,-26.36,,06-07
50,300519,新光药业,1.76,45.45,4.15,47.33,1.66,10565.15,45.79,,06-06
51,300517,海波重科,0.5,6.38,3.6,14.86,0.5,3830.06,6.92,,06-06
52,603909,合诚股份,0.65,3.84,3.35,21.55,0.37,4908.47,3.83,,06-06
53,300518,盛讯达,1.25,14.68,5.62,25.11,1.86,8774.09,15.37,,06-06
54,601127,小康股份,0.4,-18.37,,14.91,0.53,30046.55,-17.84,,05-23
55,300515,三德科技,0.63,1.49,2.64,25.36,0.2,4703.09,1.49,,05-20
56,002799,环球印务,0.52,8.33,,14.5,0.97,3814.23,5.9,,05-19
57,603131,上海沪工,0.68,1.49,3.95,18.1,0.72,5073.57,0.4,,05-18
58,002800,天顺股份,0.58,1.75,4.36,14.07,-0.97,3238.43,2.14,,05-17
59,300513,恒泰实达,0.6,-20.71,4.69,13.76,-0.08,3448.72,-20.71,,05-16
60,300516,久之洋,1.03,18.39,3.27,35.32,0.41,9310.39,18.31,,05-16
61,300513,恒泰实达,0.6,-20.71,4.69,13.76,-0.08,3448.72,-20.71,,05-16
62,603737,三棵树,1.37,3.01,6.17,24.3,1.69,10266.53,2.63,,05-16
63,300512,中亚股份,1.24,44.19,4.63,30.84,1.76,12507.07,43.06,,04-29
64,002798,帝王洁具,0.69,-14.81,,13.67,0.42,4455.51,-14.58,,04-28
65,603339,四方冷链,0.89,39.06,4.01,24.69,0.79,13806.24,38.54,,04-27
66,603959,百利科技,0.43,-15.69,,20.16,-1.61,7148.56,-16.65,,04-26
67,002796,世嘉科技,0.95,10.47,,26.04,1.15,5708.51,10.34,,04-25
68,603779,威龙股份,0.24,0.0,3.25,7.5,1.72,3529.1,-0.34,,04-25
69,002797,第一创业,0.26,225.0,,10.5,1.26,50816.62,212.19,,04-25
70,300510,金冠电气,0.7,6.06,4.1,18.4,0.23,4530.58,10.65,,04-18
71,603101,汇嘉时代,0.59,18.15,3.09,20.23,1.59,10595.39,18.15,,04-15
72,603822,嘉澳环保,0.66,12.51,6.72,10.29,-0.05,3616.16,12.5,,04-14
73,300511,雪榕生物,0.85,21.43,4.65,20.09,2.25,9545.16,21.34,,04-14
74,603528,多伦科技,1.69,86.44,,73.23,1.76,26250.53,86.44,,04-13
75,002795,永和智控,0.87,26.09,,31.63,1.37,6501.79,25.09,,04-12
76,300509,新美星,0.74,10.45,4.38,18.38,0.08,4421.05,9.42,,04-12
77,603029,天鹅股份,0.69,-1.43,,11.0,0.68,4802.73,-2.06,,04-07
78,603726,朗迪集团,0.96,24.68,,19.48,0.66,6791.41,24.5,,03-31
79,300508,维宏股份,1.37,37.0,3.4,43.65,1.2,6146.02,36.01,,03-30
80,300507,苏奥传感,1.38,35.29,5.27,29.74,1.04,6899.11,35.31,,03-29
81,002793,东音股份,0.85,39.34,4.21,22.56,0.56,6395.94,39.15,,03-28
82,603868,飞科电器,0.95,28.38,,53.35,1.38,37072.33,27.58,,03-28
83,603701,德宏股份,0.86,16.22,,21.5,0.83,5071.78,15.98,,03-28
84,603798,康普顿,0.89,12.66,,26.01,1.52,6672.82,12.11,,03-15
85,300474,景嘉微,0.82,28.13,3.05,31.14,0.34,8218.49,28.24,,03-14
86,603028,赛福天,0.27,0.0,2.44,11.74,0.29,4475.44,0.01,,03-11
87,002791,坚朗五金,1.27,-5.93,,20.41,0.2,21528.71,-5.97,,03-10
88,002792,通宇通讯,2.95,417.54,7.06,50.93,2.35,35411.98,419.52,,03-09
89,300484,蓝海华腾,1.3,-14.47,4.88,30.48,1.01,5068.83,-14.55,,03-09
90,300506,名家汇,0.53,,2.5,23.68,-0.46,4766.02,3.61,,03-07
91,603861,白云电器,0.37,0.81,3.4,11.46,0.29,13434.33,0.79,,03-02
92,300505,川金诺,0.58,-30.12,4.53,13.42,0.62,4077.39,-29.49,,02-25
93,601020,华钰矿业,0.44,62.96,,23.81,0.74,20410.16,61.7,,02-25
94,002789,建艺集团,1.44,-0.69,8.34,18.81,-1.75,8739.31,-1.18,,02-23
95,603919,金徽酒,0.59,13.46,,21.19,1.1,12471.41,15.0,,02-22
96,300503,昊志机电,0.53,-47.52,5.48,9.88,0.11,4010.95,-47.25,,02-19
97,300502,新易盛,1.59,16.91,7.41,24.0,0.98,9239.85,16.43,,02-19
98,603520,司太立,0.75,5.63,4.68,17.28,1.6,6770.42,6.36,,02-18
99,002790,瑞尔特,1.16,3.57,4.03,32.79,0.91,13954.73,3.97,,02-17
100,603027,千禾味业,0.44,-24.83,3.34,13.9,0.83,5297.03,-24.83,,02-17
101,300501,海顺新材,1.36,22.52,5.76,26.27,1.57,5422.41,21.94,,01-22
102,603608,天创时尚,0.57,14.0,,16.57,1.13,12011.23,15.43,,01-22
103,300500,苏州设计,1.26,-4.55,6.88,19.53,1.05,5655.22,-4.92,,01-21
104,002788,鹭燕医药,1.14,0.88,6.68,17.97,1.85,10932.75,0.96,,01-21
105,300499,高澜股份,0.95,13.1,5.45,19.16,1.42,4764.93,13.98,,01-20
106,603377,东方时尚,0.88,22.22,1.7,60.32,1.41,32628.28,22.5,,01-20
107,601900,南方传媒,0.48,20.0,,17.58,0.8,30876.38,20.05,,01-20
108,001979,招商蛇口,,,,,,320457.65,,,12-28
109,601155,新城控股,,,,,,116720.67,-0.61,,10-30
110,300497,富祥股份,0.99,19.28,5.25,20.84,0.58,5344.12,18.57,,07-02
111,002787,华源包装,0.69,4.55,4.48,16.64,1.32,7272.27,4.89,,06-26
112,002786,银宝山新,0.64,-31.91,6.2,10.82,1.17,6114.38,-31.72,,06-26
113,603508,思维列控,1.99,56.69,6.41,36.68,1.47,23845.56,55.94,,06-26
114,603299,井神股份,0.21,-27.59,3.48,6.13,0.9,9925.18,-26.34,,06-26
115,300494,盛天网络,1.17,-17.02,3.11,40.51,1.08,10562.03,-16.65,,06-26
116,300491,通合科技,0.62,1.64,3.01,21.96,0.46,3725.1,2.44,,06-26
117,002781,奇信股份,0.83,18.57,4.8,18.84,-0.65,14894.65,17.51,,06-25
118,603696,安记食品,0.63,6.78,3.9,17.52,0.82,5656.89,7.36,,06-25
119,300492,山鼎设计,0.41,-39.71,2.49,17.34,-0.3,2561.36,-39.46,,06-25
120,300493,润欣科技,0.43,-2.27,2.83,15.59,-0.05,3831.23,-3.92,,06-25
121,603999,读者传媒,0.78,-14.29,5.44,15.24,0.66,14119.72,-13.85,,06-25
122,002781,奇信股份,0.83,18.57,4.8,18.84,-0.65,14894.65,17.51,,06-25
123,603696,安记食品,0.63,6.78,3.9,17.52,0.82,5656.89,7.36,,06-25
124,300492,山鼎设计,0.41,-39.71,2.49,17.34,-0.3,2561.36,-39.46,,06-25
125,603996,中新科技,0.68,-8.11,5.1,14.38,-0.2,10264.34,-7.69,,06-25
126,002780,三夫户外,0.56,-13.85,3.95,14.44,0.35,2785.1,-14.53,,06-25
127,603398,邦宝益智,0.82,9.33,2.68,28.43,1.0,5879.49,9.43,,06-25
128,300490,华自科技,0.59,7.27,4.24,14.78,1.16,4408.5,6.13,,06-25
129,603936,博敏电子,0.57,-2.74,4.21,14.03,1.34,6922.16,-2.68,,06-25
130,002779,中坚科技,0.86,22.86,4.89,19.38,0.84,5703.39,24.11,,06-25
131,002785,万里石,0.14,-44.0,3.47,3.98,-0.02,2029.78,-46.25,,06-25
132,603866,桃李面包,0.67,6.35,2.56,28.19,0.79,27295.45,7.21,,06-25
133,300496,中科创达,1.5,16.52,4.53,38.72,0.94,11265.75,16.53,,06-25
134,002778,高科石化,0.52,10.64,5.49,10.03,0.45,3503.08,12.46,,06-25
135,002783,凯龙股份,1.71,-11.86,11.01,16.46,1.85,10715.3,-11.89,,06-25
