,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1528,002082,栋梁新材,0.0217,0.0498,1.9856,0.3285,34.5583
1529,000428,华天酒店,0.0217,0.0012,,0.0018,0.2446
1530,002655,共达电声,0.0217,0.0058,0.8853,0.0127,1.2775
1531,300336,新文化,0.0215,0.0031,0.1018,0.01,1.0227
1532,000023,深天地A,0.0214,0.0064,1.0014,0.0092,0.941
1533,600745,中茵股份,0.0213,0.0087,1.3563,0.0176,2.1253
1534,002648,卫星石化,0.021,0.0064,3.2688,0.0115,1.2567
1535,300428,四通新材,0.0209,0.0128,0.2393,0.1568,21.1726
1536,002004,华邦健康,0.0206,0.0031,0.1502,0.006,0.9275
1537,600161,天坛生物,0.0205,0.0031,0.1642,0.0052,1.3024
1538,300057,万顺股份,0.0205,0.0045,0.5087,0.0105,1.1249
1539,002359,齐星铁塔,0.0203,0.0053,0.3417,0.0158,1.6077
1540,600287,江苏舜天,0.0199,0.0128,1.0902,0.0224,2.2484
1541,000731,四川美丰,0.0198,0.006,,0.0146,1.9024
1542,002762,金发拉比,0.0196,0.0034,0.1104,0.037,3.7044
1543,600133,东湖高新,0.0195,0.0019,2.4461,0.0022,0.3452
1544,000938,紫光股份,0.0195,0.0048,0.481,0.0161,1.7326
1545,002524,光正集团,0.0194,0.0025,,0.0046,0.6012
1546,300332,天壕环境,0.0193,0.0024,0.1983,0.0049,0.8712
1547,002131,利欧股份,0.0192,0.0065,0.2065,0.0197,2.45
1548,002697,红旗连锁,0.0188,0.0158,0.5657,0.0378,3.7812
1549,600444,国机通用,0.0184,0.005,,0.0076,0.7794
1550,600293,三峡新材,0.0183,0.0038,2.3304,0.0052,0.5483
1551,600763,通策医疗,0.0176,0.005,0.0904,0.0184,8.5111
1552,300040,九洲电气,0.0176,0.0026,0.2511,0.0093,1.2132
1553,601313,江南嘉捷,0.0173,0.0073,0.2114,0.0192,1.9295
1554,600122,宏图高科,0.0172,0.0085,1.2932,0.0157,2.0929
1555,603022,新通联,0.0172,0.0057,0.216,0.0345,3.6619
1556,000153,丰原药业,0.0172,0.0063,0.5852,0.0119,1.2683
1557,002297,博云新材,0.0171,0.0015,,0.0048,0.5238
1558,002672,东江环保,0.017,0.0026,0.0898,0.0046,0.6372
1559,600895,张江高科,0.0168,0.0011,0.0666,0.0021,0.3738
1560,600637,东方明珠,0.0168,0.0045,0.1174,0.0192,2.0122
1561,601006,大秦铁路,0.0167,0.0029,0.0971,0.0102,1.3389
1562,603020,爱普股份,0.0167,0.0093,0.1674,0.066,6.6296
1563,002664,信质电机,0.0166,0.0062,0.1165,0.0236,2.3574
1564,300082,奥克股份,0.0165,0.0057,0.9993,0.0129,1.843
1565,002539,新都化工,0.0162,0.0059,0.4346,0.0092,1.1475
1566,002576,通达动力,0.0161,0.0056,,0.0274,2.9693
1567,300171,东富龙,0.0158,0.0029,0.0813,0.0106,1.1173
1568,000657,中钨高新,0.0157,0.0059,2.1926,0.0118,1.3818
1569,600725,*ST云维,0.0156,0.0019,,0.0013,0.1409
1570,600543,莫高股份,0.0156,0.0013,0.1345,0.0105,1.7015
1571,300019,硅宝科技,0.0156,0.0048,0.1106,0.0195,3.2158
1572,000034,神州数码,0.0156,0.0112,0.7275,0.0133,1.5084
1573,601668,中国建筑,0.0153,0.0062,0.3343,0.0079,1.08
1574,000564,西安民生,0.0152,0.0049,1.2288,0.0067,0.7369
1575,600623,华谊集团,0.0152,0.009,1.4173,0.021,2.5224
1576,600764,中电广通,0.015,0.0025,0.1214,0.0083,0.968
1577,000066,长城电脑,0.0149,0.0126,28.0012,0.0166,1.9427
1578,002247,帝龙新材,0.0147,0.0017,0.0816,0.009,0.9232
1579,603788,宁波高发,0.0145,0.0059,0.0782,0.0226,2.4891
1580,600056,中国医药,0.0145,0.0094,0.2972,0.0146,1.7555
1581,300130,新国都,0.0145,0.0031,0.2231,0.0065,0.9934
1582,002179,中航光电,0.0144,0.0054,0.1019,0.0113,1.4165
1583,002737,葵花药业,0.0143,0.0055,0.1187,0.0178,2.5182
1584,002210,飞马国际,0.0139,0.0136,2.3686,0.0156,1.6497
