,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603959,百利科技,0.22,,,9.32,0.13,3774.87,,,04-26
1,603701,德宏股份,0.75,,4.54,17.07,0.77,4413.73,,,03-28
2,002791,坚朗五金,0.84,,7.68,11.51,-0.74,14206.66,,,03-10
3,300484,蓝海华腾,0.99,,5.74,18.75,-0.59,3864.17,,,03-09
4,002792,通宇通讯,1.51,,8.33,19.76,0.29,18072.74,,,03-09
5,300506,名家汇,0.35,,2.85,13.12,-0.31,3161.64,,,03-07
6,002789,建艺集团,0.89,,9.22,9.66,-4.18,5422.78,,,02-23
7,603520,司太立,0.55,,4.68,11.52,0.78,4972.43,,,02-18
8,002790,瑞尔特,0.91,,4.74,20.6,0.73,10920.03,,,02-17
9,300501,海顺新材,1.1,,6.37,18.45,0.75,4416.1,,,01-22
10,002788,鹭燕医药,0.8,,7.29,11.47,-3.55,7656.78,,,01-21
11,300499,高澜股份,0.38,5.56,,6.27,,1887.24,3.64,,01-20
12,601900,南方传媒,0.53,3.92,,13.97,,34199.62,18.84,,01-20
13,002797,第一创业,0.38,,,,,75326.82,,,01-15
14,001979,招商蛇口,,,,,,191046.55,11.13,,12-28
15,300494,盛天网络,0.6,-35.48,,17.82,,5395.96,-35.49,,12-16
16,002777,久远银海,0.52,4.0,,12.44,,3099.64,3.3,,12-16
17,300491,通合科技,0.44,12.82,,13.54,,2625.05,13.65,,12-16
18,300490,华自科技,0.42,7.69,,9.56,,3131.46,7.12,,12-16
19,002787,华源包装,0.58,11.54,,12.17,,6133.83,12.73,,12-16
20,603778,乾景园林,0.57,42.5,,7.42,,3426.05,43.86,,12-16
21,002778,高科石化,0.45,4.65,,7.85,,2999.58,5.56,,12-16
22,300528,幸福蓝海,0.27,,5.33,5.19,1.31,6280.53,,,12-11
23,300492,山鼎设计,0.27,-1450.0,,10.43,,1712.55,-1402.85,,12-04
24,603866,桃李面包,0.62,29.17,,22.68,,24944.76,28.97,,12-04
25,002785,万里石,0.09,28.57,,,,1309.56,18.57,,12-04
26,002786,银宝山新,0.47,6.82,,7.23,,4464.61,5.68,,12-04
27,300497,富祥股份,1.19,46.91,,21.21,,6435.37,47.76,,12-04
28,601155,新城控股,0.38,,6.35,6.24,0.51,44819.95,,,12-03
29,601611,中国核建,,,,,,39972.14,-27.43,,12-01
30,300493,润欣科技,0.32,-11.11,,10.89,,2887.23,-10.84,,11-23
31,603696,安记食品,0.41,-10.87,,10.04,,3713.5,-9.38,,11-23
32,002779,中坚科技,0.62,-13.89,,11.97,,4111.77,-13.38,,11-23
33,300496,中科创达,1.35,0.95,,27.68,,10123.05,0.96,,11-23
34,603398,邦宝益智,0.7,27.27,,24.73,,5041.2,27.27,,11-23
35,002024,苏宁云商,0.01,-107.14,,0.18,,5304.3,-105.09,,10-31
36,600150,中国船舶,0.12,22.77,,0.98,,17079.92,23.09,,10-31
37,600739,辽宁成大,0.98,97.33,,9.85,,147023.68,114.09,,10-31
38,000546,金圆股份,0.28,17206.25,,9.65,,16568.93,62703.61,,10-31
39,600179,*ST黑化,-0.52,-24.64,,,,-20133.73,-24.95,,10-31
40,002471,中超控股,0.16,0.94,,4.9,,8189.19,0.47,,10-31
41,600975,新五丰,0.03,-117.65,,1.1,,889.07,-122.64,,10-31
42,600241,时代万恒,-0.29,101.46,,-14.6,,-5375.51,107.12,,10-31
43,002565,上海绿新,0.12,-42.86,,5.05,,8506.77,-41.9,,10-31
44,002725,跃岭股份,0.29,-63.75,,5.35,,4668.57,-40.19,,10-31
45,601328,交通银行,0.7,1.45,6.79,10.61,,5204000.0,1.01,,10-31
46,002188,巴士在线,-0.09,80.0,,-4.68,,-1376.81,73.95,,10-31
47,601727,上海电气,0.15,5.81,,5.11,,189222.0,5.78,,10-31
48,000593,大通燃气,0.04,25.0,,1.46,,967.89,24.48,,10-31
49,000735,罗牛山,0.05,-19.49,,2.57,,4438.42,-19.49,,10-31
50,002444,巨星科技,0.41,0.0,,10.44,,41881.55,0.57,,10-31
51,600303,曙光股份,-0.1,-190.91,,-2.68,,-5982.75,-193.7,,10-31
52,600551,时代出版,0.57,1.26,7.79,7.37,,28785.81,1.26,,10-31
53,002248,华东数控,-0.37,48.0,,-11.21,,-11484.31,56.74,,10-31
54,002099,海翔药业,0.6,2900.0,,13.44,,45061.53,5673.56,,10-31
55,000636,风华高科,0.06,-25.0,,1.22,,4569.2,-12.68,,10-31
56,600007,中国国贸,0.46,6.98,,8.71,,46569.04,8.52,,10-31
57,600033,福建高速,0.17,-4.78,,6.0,,47527.12,-4.8,,10-31
58,600623,华谊集团,0.23,-6.88,,3.5,,41927.74,90.95,,10-31
59,600657,信达地产,0.11,-31.25,,2.15,,16788.06,-33.08,,10-31
60,002759,天际股份,0.44,-2.22,,9.29,,3663.06,12.31,,10-31
61,600679,上海凤凰,-0.03,245.56,,-1.67,,-1098.19,245.49,,10-31
62,002542,中化岩土,0.13,-27.78,,7.65,,13285.54,75.69,,10-31
63,600121,郑州煤电,-0.42,145.76,,-10.67,,-42707.9,146.11,,10-31
64,601519,大智慧,-0.07,-252.27,,-4.53,,-13400.41,-253.85,,10-31
65,600129,太极集团,0.47,796.04,,17.9,,20272.71,796.09,,10-31
66,600139,西部资源,0.01,150.0,1.96,0.26,,340.94,142.18,,10-31
67,000561,烽火电子,0.01,4.05,,0.48,,456.37,4.04,,10-31
68,002424,贵州百灵,0.16,-57.89,,9.41,,23179.22,32.61,,10-31
69,000155,*ST川化,-0.36,-53.25,,,,-16762.48,-53.71,,10-31
70,002247,帝龙新材,0.26,4.0,,6.71,,6832.46,5.85,,10-31
71,600478,科力远,0.0,-110.0,,0.25,,272.21,-119.7,,10-31
72,600856,中天能源,0.27,2632.0,,10.03,,13125.77,7346.82,,10-31
73,600300,维维股份,0.02,-60.0,,5.77,,3021.07,-64.27,,10-31
74,002031,巨轮智能,0.16,-38.74,,3.93,,11526.28,-4.8,,10-31
75,600320,振华重工,0.04,100.0,,1.11,,16451.61,104.25,,10-31
76,601015,陕西黑猫,0.05,-81.48,,1.19,,3397.38,-74.4,,10-31
77,600791,京能置业,0.11,-26.67,,3.48,,5079.29,-25.4,,10-31
78,600352,浙江龙盛,0.72,-45.57,,18.69,,232009.17,14.81,,10-31
79,600401,海润光伏,0.01,-139.7,,1.03,,5001.4,-219.14,,10-31
80,600763,通策医疗,0.76,33.33,,17.72,,12244.53,34.69,10转10,10-31
81,600377,宁沪高速,0.49,19.29,,11.12,,246710.92,19.29,,10-31
82,600186,莲花健康,-0.46,275.31,0.11,-135.4,-0.0,-48430.56,275.18,,10-31
83,002184,海得控制,0.22,71.49,,6.3,,4922.82,71.48,,10-31
84,600355,精伦电子,-0.11,120.0,,-13.91,,-5431.33,325.4,,10-31
85,002141,蓉胜超微,-0.01,-130.36,,-0.31,,-93.42,-130.56,,10-31
86,600485,信威集团,0.4,33100.0,,10.69,,116485.93,38254.79,,10-31
87,600891,秋林集团,0.16,33.33,,5.86,,5113.21,28.22,,10-31
