,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,002039,黔源电力,5.3117,67.7749,97586.9056,0.0037,1.5822,227.5313
1,600605,汇通能源,4.9087,73.3392,56263.6457,0.0064,2.9096,123.7283
2,002649,博彦科技,3.0289,118.855,46156.0129,0.0078,1.1244,320.1708
3,300467,迅游科技,37.1976,9.678,14561.1324,0.0247,0.5037,714.7111
4,002707,众信旅游,16.4385,21.8998,12901.777,0.0279,3.9816,90.4159
5,300071,华谊嘉信,1.8285,196.8827,3520.8623,0.1022,1.423,252.9866
6,600897,厦门空港,4.243,84.8456,2787.7128,0.1291,1.3305,270.575
7,000415,渤海金控,8.715,41.3081,1443.3828,0.2494,0.4338,829.8755
8,002400,省广股份,3.2036,112.3736,911.4668,0.395,1.4481,248.6016
9,300347,泰格医药,1.9778,182.0204,888.6833,0.4051,0.8585,419.3361
10,600270,外运发展,3.6601,98.358,858.7716,0.4192,0.8289,434.3105
11,600452,涪陵电力,288.4627,1.248,763.974,0.4712,2.7426,131.2623
12,600652,游久游戏,5.7743,62.3452,729.12,0.4937,1.3532,266.0361
13,601519,大智慧,4.43,81.2641,686.1376,0.5247,0.2173,1656.6958
14,000712,锦龙股份,,,616.1347,0.5843,0.0014,257142.8571
15,600131,岷江水电,31.9894,11.2537,493.9435,0.7288,3.5586,101.1634
16,600247,ST成城,1.4109,255.1563,491.9023,0.7319,0.7165,502.4424
17,300170,汉得信息,1.5358,234.4055,339.8542,1.0593,0.6275,573.7052
18,000089,深圳机场,4.6474,77.4627,338.3714,1.0639,0.8558,420.659
19,300191,潜能恒信,0.2104,1711.0266,326.5881,1.1023,0.0274,13138.6861
20,300058,蓝色光标,2.0663,174.2245,324.5397,1.1093,0.9298,387.18
21,600221,海南航空,42.6789,8.4351,312.2052,1.1531,0.9492,379.2668
22,000796,凯撒旅游,13.8462,25.9999,249.4745,1.443,2.5462,141.3872
23,600865,百大集团,44.2862,8.1289,244.5111,1.4723,0.8645,416.4257
24,300012,华测检测,3.8098,94.4931,226.7375,1.5877,1.2236,294.2138
25,000791,甘肃电投,7.9849,45.0851,219.2122,1.6422,1.1889,302.8009
26,600168,武汉控股,1.8182,197.998,201.1139,1.79,0.6404,562.1487
27,000916,华北高速,3.5694,100.8573,195.4645,1.8418,0.4892,735.8953
28,300383,光环新网,6.3479,56.7117,195.1408,1.8448,1.3992,257.2899
29,600291,西水股份,11.1276,32.352,187.8936,1.916,0.0021,171428.5714
30,600012,皖通高速,,,181.5758,1.9826,2.084,172.7447
31,600035,楚天高速,17.2571,20.861,173.3702,2.0765,1.7545,205.1867
32,601518,吉林高速,,,163.3116,2.2044,1.0934,329.2482
33,002279,久其软件,2.8289,127.2579,160.5357,2.2425,0.6174,583.0904
34,300288,朗玛信息,3.6661,98.197,155.6895,2.3123,0.5041,714.144
35,300348,长亮科技,1.4843,242.5386,155.0176,2.3223,0.5258,684.671
36,600995,文山电力,47.0196,7.6564,139.7349,2.5763,3.9701,90.6778
37,000503,海虹控股,27.4871,13.0971,137.9902,2.6089,0.1163,3095.4428
38,600009,上海机场,4.1041,87.7172,130.5822,2.7569,0.4424,813.7432
39,002357,富临运业,31.9633,11.2629,126.6014,2.8436,0.838,429.5943
40,002210,飞马国际,19.7879,18.1929,126.2895,2.8506,1.7161,209.778
