,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600696,匹凸匹,175688.9956,-0.0087,,-0.014,-1.3985
1,600291,西水股份,4210.3122,0.3972,97.7447,0.4691,48.4294
2,000712,锦龙股份,360.0434,0.1214,6.6724,0.1627,19.3811
3,600715,文投控股,274.8974,0.4312,,0.367,56.3025
4,600773,西藏城投,23.81,0.0379,43.7984,0.0499,7.9514
5,300344,太空板业,21.8798,0.0413,,0.1837,18.6078
6,000979,中弘股份,16.1227,0.0458,79.7153,0.0671,13.9263
7,600683,京投发展,10.9343,0.0205,,0.022,3.1045
8,300167,迪威视讯,8.3428,0.0748,,0.2168,24.9481
9,600654,中安消,5.4218,0.2217,69.2437,0.6672,73.7434
10,300059,东方财富,5.3548,0.2401,10.33,0.3142,31.4438
11,600061,国投安信,5.2818,0.0264,4.2716,0.0324,3.7691
12,600606,绿地控股,5.0094,0.0179,,0.0237,2.4587
13,000727,华东科技,2.0489,0.0123,,0.032,7.1818
14,600598,北大荒,1.793,0.1224,7.5969,0.3223,32.4415
15,600240,华业资本,1.5377,0.0178,,0.0226,3.278
16,600053,九鼎投资,1.3691,0.0414,18.5167,0.0625,6.2683
17,600701,*ST工新,1.3547,0.0772,,0.1226,20.1018
18,300308,中际装备,1.2948,0.038,,0.2263,32.3975
19,000005,世纪星源,1.29,0.0128,,0.0249,2.6874
20,000732,泰禾集团,1.2687,0.0219,6.3505,0.0249,4.1394
21,600106,重庆路桥,1.2466,0.0141,2.5071,0.025,36.0237
22,002629,仁智油服,1.244,0.0626,,0.2489,24.893
23,002469,三维工程,1.1937,0.08,4.6242,0.4165,41.6508
24,600379,宝光股份,1.1803,0.1759,28.6013,0.3872,44.4546
25,600033,福建高速,1.1696,0.038,3.5125,0.0775,17.783
26,002166,莱茵生物,1.1309,0.0628,27.5468,0.0749,9.625
27,600874,创业环保,1.11,0.0454,6.8006,0.0748,22.4977
28,000652,泰达股份,1.092,0.0251,,0.0294,3.6408
29,600882,广泽股份,1.0566,0.0669,,0.3956,48.1478
30,002039,黔源电力,1.0463,0.0298,8.3514,0.0379,30.8869
31,000802,北京文化,1.0455,0.0305,,0.0817,22.2057
32,002606,大连电瓷,0.9668,0.0511,,0.1171,14.4192
33,601016,节能风电,0.9468,0.0247,4.0629,0.0347,14.2605
34,000651,格力电器,0.9451,0.1424,8.3009,0.2019,20.4599
35,600674,川投能源,0.9363,0.0119,0.3323,0.044,16.6387
36,600506,香梨股份,0.9346,0.0445,,0.8099,260.4755
37,600638,新黄浦,0.9212,0.0165,5.0082,0.0262,3.6839
38,600165,新日恒力,0.9195,0.0611,,0.0954,9.6372
39,600262,北方股份,0.913,0.0559,,0.0903,9.9892
40,601188,龙江交通,0.9099,0.0235,1.5899,0.1273,13.458
41,300038,梅泰诺,0.8991,0.049,18.0499,0.1058,10.9174
42,002207,准油股份,0.8827,0.056,,0.1549,15.4873
43,300033,同花顺,0.8748,0.0607,1.6662,0.1882,19.1554
44,600962,国投中鲁,0.8645,0.0954,,0.1835,18.3789
45,600297,广汇汽车,0.8264,0.0227,9.6174,0.0608,20.5132
46,002234,民和股份,0.8099,0.0861,,0.19,20.7964
47,600110,诺德股份,0.7989,0.0383,38.9095,0.0528,6.783
48,300144,宋城演艺,0.7888,0.0434,1.7811,0.5712,58.1417
49,300309,吉艾科技,0.7659,0.0197,5.887,0.3746,38.595
50,000831,*ST五稀,0.7582,0.0198,13.2041,0.9108,110.838
51,300450,先导智能,0.7552,0.0733,2.6075,0.1096,11.5199
52,000633,*ST合金,0.7551,0.0461,,0.1958,117.2829
53,600794,保税科技,0.7355,0.0751,7.9288,0.1959,36.935
54,002114,罗平锌电,0.7347,0.0373,,0.0681,7.3811
55,600371,万向德农,0.7264,0.1045,11.6407,0.2255,23.4923
56,601985,中国核电,0.7167,0.0198,2.1951,0.0252,17.1934
57,601518,吉林高速,0.7165,0.0218,1.3717,0.0483,14.5348
58,002622,永大集团,0.7105,0.0082,0.9194,0.0324,3.2632
59,300519,新光药业,0.7036,,1.6731,,
60,000547,航天发展,0.7007,0.0257,1.2547,0.0786,14.9859
61,000791,甘肃电投,0.6909,0.0091,,0.0125,7.2868
62,002266,浙富控股,0.6886,0.0187,18.0283,0.0463,6.1764
63,000415,渤海金控,0.6824,0.017,4.2807,0.0201,6.2121
64,600242,中昌海运,0.6817,0.0154,,0.0151,1.956
65,600012,皖通高速,0.6776,0.037,1.8374,0.151,47.5512
66,000429,粤高速A,0.6732,0.0194,2.2229,0.0373,25.9524
67,000536,华映科技,0.6525,0.0943,17.9036,0.1556,16.5734
68,600020,中原高速,0.65,0.0117,2.3946,0.0145,4.4951
69,600035,楚天高速,0.6484,0.0232,0.9835,0.0411,23.203
70,002357,富临运业,0.6392,0.0774,2.4356,0.1984,20.376
71,002089,新海宜,0.6386,0.0391,4.4432,0.0757,8.78
72,600886,国投电力,0.6381,0.0279,2.1171,0.0379,17.9274
73,600714,金瑞矿业,0.6371,0.0593,171.401,0.0951,16.7852
74,002445,中南文化,0.6108,0.0318,6.8529,0.0677,6.8669
75,300494,盛天网络,0.6092,0.0675,2.5893,0.9337,96.0226
