,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
312,000615,京汉股份,0.07,-177.78,,2.5,,1566.73,-184.51,,10-31
313,601169,北京银行,1.19,-4.8,,14.82,,1259200.0,14.33,,10-31
314,600182,S佳通,0.46,-23.33,,14.98,,15726.8,-22.85,,10-31
315,600898,三联商社,0.08,14.99,,6.1,,1994.5,14.96,,10-31
316,600871,石化油服,-0.34,93.64,,-33.04,,-201232.9,190.96,,10-31
317,600503,华丽家族,0.0,-87.79,,0.09,0.12,182.22,-87.81,,10-31
318,000789,万年青,0.92,59.2,,16.39,,37501.21,59.15,,10-31
319,600756,浪潮软件,0.08,-148.99,,2.72,,2156.77,-148.88,,10-31
320,000584,友利控股,0.33,-42.77,,10.1,,19951.65,-42.76,,10-31
321,600458,时代新材,0.17,6.25,,3.54,,10991.58,4.84,,10-31
322,600575,皖江物流,-1.08,-1180.0,,-64.52,,-274977.58,-1236.7,,10-31
323,600388,龙净环保,0.69,-12.66,,10.09,,29630.3,-11.75,,10-31
324,600016,民生银行,1.08,-8.47,6.86,17.03,2.63,3677800.0,10.4,,10-31
325,000973,佛塑科技,0.06,70.27,,3.13,,6129.29,69.84,,10-31
326,601991,大唐发电,0.28,-0.25,,8.1,,366411.0,-0.27,,10-31
327,600691,阳煤化工,-0.32,-390.91,,-10.46,,-46979.69,-395.61,,10-31
328,601808,中海油服,1.38,15.97,,14.98,,654871.0,22.11,,10-31
329,600108,亚盛集团,0.09,-24.51,,3.66,,18107.51,-24.5,,10-31
330,600689,上海三毛,0.37,-934.09,2.05,20.06,,7380.3,-925.25,,10-31
331,600652,游久游戏,-0.17,-1800.0,,-10.46,,-9524.12,-2187.61,,10-31
332,600130,波导股份,0.06,20.0,,5.12,,4327.75,12.64,,10-31
333,600735,新华锦,0.15,4.29,,6.03,,3661.22,4.32,,10-31
334,601010,文峰股份,0.44,22.22,,8.53,,32497.91,22.73,,10-31
335,000518,四环生物,0.03,1368.42,,4.16,,2868.5,1348.14,,10-31
