,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603843,正平股份,0.08,-2.38,2.4,3.3,-1.37,2343.49,-2.33,,09-02
1,002807,江阴银行,0.23,-5.26,4.85,4.89,,36174.79,-5.28,,09-01
2,600787,中储股份,0.19,-10.06,4.09,4.58,,40985.82,6.39,,08-31
3,600682,南京新百,-0.32,-268.42,,-11.92,,-26756.92,-292.42,,08-31
4,002570,贝因美,-0.21,110.0,,-6.02,,-21422.25,108.07,,08-31
5,000657,中钨高新,0.01,-103.81,,0.17,,500.31,-103.74,,08-31
6,600578,京能电力,0.15,-46.43,,4.16,,67874.66,-47.44,,08-31
7,000568,泸州老窖,0.79,8.97,,10.3,,111241.59,8.9,,08-31
8,000718,苏宁环球,0.06,-63.69,,3.8,,17354.1,-45.81,,08-31
9,002552,宝鼎科技,-0.08,-500.0,,-3.18,,-2522.61,-548.28,,08-31
10,601558,华锐风电,-0.08,-42.86,,-12.12,,-48871.95,-43.47,,08-31
11,600879,航天电子,0.1,22.78,,1.82,,10123.5,22.85,,08-31
12,600844,丹化科技,-0.09,-685.62,,-8.9,,-6976.48,-683.98,,08-31
13,600781,辅仁药业,0.08,4.16,,3.95,,1423.23,4.19,,08-31
14,600068,葛洲坝,0.31,13.92,,6.86,,144156.92,14.85,,08-31
15,000416,民生控股,-0.01,-113.22,,-0.4,,-341.96,-113.28,,08-31
16,000157,中联重科,-0.11,175.0,,-2.13,,-83652.22,169.99,,08-31
17,600432,*ST吉恩,-0.32,45.45,,-10.45,,-51951.86,48.43,,08-31
18,600122,宏图高科,0.12,-46.68,,1.8,,13929.32,-46.49,,08-31
19,601888,中国国旅,1.13,8.9,,9.43,,110678.86,8.89,,08-31
20,603918,金桥信息,0.0,-43.24,,0.08,,37.3,43.08,,08-31
21,000616,海航投资,0.0,-94.17,,0.11,,503.08,-94.15,,08-31
22,600093,禾嘉股份,0.23,72.73,,4.47,,25608.78,502.2,,08-31
23,000710,天兴仪表,-0.01,-66.03,,-1.41,,-164.27,-66.02,,08-31
24,600702,沱牌舍得,0.07,243.5,,1.03,,2317.38,243.53,,08-31
25,601107,四川成渝,0.22,21.44,,5.25,,67544.57,21.44,,08-31
26,002718,友邦吊顶,0.71,20.34,,9.04,,5824.91,18.82,,08-31
27,601611,中国核建,0.12,,,4.21,,27194.1,-2.62,,08-31
28,000428,华天酒店,-0.09,-250.0,,-2.78,,-8736.21,-292.83,,08-31
29,601928,凤凰传媒,0.29,13.66,,6.74,,74512.3,13.65,,08-31
30,000876,新希望,0.34,-39.29,,7.37,,143070.74,23.53,,08-31
31,601800,中国交建,0.38,-2.56,,4.1,,702301.95,7.66,,08-31
32,600568,中珠医疗,0.21,80.12,,4.25,,12268.88,111.06,,08-31
33,600336,澳柯玛,0.09,-14.44,,6.16,,6422.4,-14.51,,08-31
34,600626,申达股份,0.11,52.57,,3.37,,8019.48,52.67,,08-31
35,000729,燕京啤酒,0.16,-24.53,,3.5,,45192.12,-24.41,,08-31
36,600057,象屿股份,0.13,-23.53,,2.5,,15276.07,-14.71,,08-31
37,600246,万通地产,0.22,1684.43,,8.67,,26490.33,1689.53,,08-31
38,000820,金城股份,-0.15,1090.48,,-11.07,,-4415.54,1113.71,,08-31
39,000815,美利云,-0.11,-76.6,,-7.55,,-4799.52,-67.81,,08-31
40,601969,海南矿业,-0.06,-1933.33,,-2.43,,-10283.26,-1876.22,,08-31
41,600749,西藏旅游,-0.21,-4.72,,-6.39,,-3929.81,-4.71,,08-31
42,000617,*ST济柴,-0.54,-2800.0,,-34.92,,-15670.41,-2697.09,,08-31
43,600690,青岛海尔,0.54,25.69,,13.78,,331517.32,26.11,,08-31
44,600653,申华控股,-0.04,-240.45,,-4.03,,-8143.0,-248.47,,08-31
45,600751,天海投资,0.03,-5.17,,0.74,,9057.04,-4.97,,08-31
46,601009,南京银行,0.72,-40.0,8.18,8.94,17.5,436182.3,22.26,,08-31
47,601996,丰林集团,0.06,-25.0,,1.76,,3033.8,-21.83,,08-31
48,000622,*ST恒立,-0.03,-29.17,,-7.33,,-1086.36,-28.82,,08-31
49,600793,ST宜纸,-0.21,95.68,,-56.15,,-2194.6,95.67,,08-31
50,600808,马钢股份,0.06,-136.61,,2.42,,45275.3,-136.61,,08-31
51,000599,青岛双星,0.08,100.0,,2.14,,5401.73,105.82,,08-31
52,600782,新钢股份,0.08,-179.5,,1.36,,11081.22,-180.67,10转10,08-31
53,600425,青松建化,-0.12,-26.63,,-3.82,,-17122.12,-26.41,,08-31
