,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1865,002119,康强电子,0.9955,0.6699,14.1176,287.7626,49.6241,50.3759
1866,002714,牧原股份,0.6408,0.256,19.0091,1562.8517,49.5464,50.4536
1867,600272,开开实业,1.3439,0.9593,43.1468,-256.8539,49.5338,50.4662
1868,002600,江粉磁材,1.2398,0.9743,26.2398,545.6,49.5274,50.4726
1869,000060,中金岭南,0.8828,0.5353,20.4984,143.7118,49.5033,50.4967
1870,002319,乐通股份,0.7078,0.5751,13.8154,231.8302,49.4898,50.5102
1871,603588,高能环境,1.1053,0.4181,13.7363,370.8485,49.476,50.524
1872,300090,盛运环保,1.8743,1.5295,68.7886,221.459,49.4271,50.5729
1873,002259,升达林业,1.8863,1.5009,122.9346,168.3592,49.3978,50.6022
1874,300444,双杰电气,1.6724,1.4108,53.0186,-634.6986,49.3884,50.6116
1875,300249,依米康,1.3506,1.0478,10.2218,482.5475,49.3816,50.6184
1876,600148,长春一东,1.7832,1.5239,37.0092,1042.4082,49.3549,50.6451
1877,603018,设计股份,1.5028,1.2656,14.7361,4137.0712,49.3293,50.6707
1878,600732,*ST新梅,0.4542,0.0461,3.8612,-210.0816,49.3085,50.6915
1879,603019,中科曙光,1.5379,1.2538,58.4791,345.6538,49.305,50.695
1880,600687,刚泰控股,2.2408,1.5253,62.0868,434.4664,49.2974,50.7026
1881,600275,武昌鱼,0.16699999999999998,0.1482,5.5093,-130.059,49.2106,50.7894
1882,002464,金利科技,0.4067,0.4067,19.8563,189.9757,49.191,50.809
1883,600644,乐山电力,0.6586,0.5239,26.4318,49029.5025,49.1906,50.8094
1884,600480,凌云股份,1.3914,1.0435,22.2012,650.1011,49.1344,50.8656
1885,002369,卓翼科技,1.0337,0.7508,38.1183,215.144,49.0923,50.9077
1886,600579,天华院,1.4441,1.1693,13.7807,101.5364,49.023,50.977
1887,600073,上海梅林,1.2961,1.0591,70.1754,1759.8294,49.0051,50.9949
1888,002170,芭田股份,0.9174,0.5563,27.2375,287.4892,49.0034,50.9966
1889,002770,科迪乳业,0.7595,0.6852,56.746,315.3189,48.9833,51.0167
1890,601008,连云港,0.3731,0.3576,6.4571,104.8511,48.9821,51.0179
1891,300100,双林股份,1.0090000000000001,0.7481,14.993,905.4149,48.9819,51.0181
1892,300309,吉艾科技,1.0916,0.9333,38.788000000000004,359.6249,48.965,51.035
1893,002475,立讯精密,1.1984,0.9561,38.374,1442.9139,48.9496,51.0504
1894,002717,岭南园林,1.6961,0.7446,34.11,1129.3585,48.916,51.084
1895,000885,同力水泥,0.5904,0.3981,22.873,285.2836,48.8173,51.1827
1896,300256,星星科技,1.0223,0.6619,13.2253,229.0636,48.806,51.194
1897,600226,升华拜克,1.1453,0.9863,78.033,1412.0873,48.8,51.2
1898,300509,新美星,1.744,1.1406,67.8494,-3459.1794,48.7868,51.2132
1899,600463,空港股份,1.8137,0.5413,41.293,360.5672,48.7524,51.2476
1900,000421,南京公用,0.915,0.3494,21.2029,1734.6281,48.7443,51.2557
1901,000811,烟台冰轮,1.2017,0.9053,30.9821,1221.7277,48.7091,51.2909
1902,600769,祥龙电业,1.673,1.6426,61.4267,-10163.958,48.6686,51.3314
1903,000801,四川九洲,1.7659,1.4529,40.2236,741.077,48.6633,51.3367
1904,000809,铁岭新城,7.1958,1.1039,40.3516,-150.9415,48.655,51.345
1905,300231,银信科技,2.1449,2.1,61.9022,7135.8095,48.642,51.358
1906,000600,建投能源,0.5224,0.4881,14.5189,1118.5017,48.6371,51.3629
1907,600789,鲁抗医药,1.1569,0.8024,29.979,174.0973,48.629,51.371
1908,300523,辰安科技,1.7272,1.0599,28.6556,1234.1755,48.5519,51.4481
1909,600655,豫园商城,1.0193,0.5962,37.6429,-1241.0042,48.5233,51.4767
1910,002781,奇信股份,1.8969999999999998,1.814,47.7922,493.2853,48.5015,51.4985
1911,002742,三圣特材,1.1054,1.05,14.3721,574.0605,48.5008,51.4992
1912,002190,成飞集成,2.5367,2.0753,123.0672,1211.1478,48.4637,51.5363
1913,600119,长江投资,1.5927,1.2909,54.6283,1505.3238,48.4271,51.5729
1914,002417,三元达,1.8496,1.3433,30.1063,-724.7796,48.3957,51.6043
1915,002024,苏宁云商,1.5874,1.3134,71.9107,-52.8495,48.393,51.607
1916,000973,佛塑科技,1.4465,0.7909,30.2411,256.6657,48.3605,51.6395
1917,600284,浦东建设,1.2261,0.7715,62.0206,1795.6337,48.3373,51.6627
1918,002531,天顺风能,1.4585,1.284,42.2798,2886.2306,48.3237,51.6763
1919,002241,歌尔股份,1.3593,0.9564,39.9481,625.4398,48.3236,51.6764
1920,600106,重庆路桥,10.0303,8.0242,712.1634,332.7165,48.2935,51.7065
1921,000788,北大医药,1.7412,1.5154,64.8427,306.2479,48.177,51.823
1922,600278,东方创业,1.4048,1.2214,60.6451,-3352.6389,48.1022,51.8978
1923,002004,华邦健康,1.4971,1.3173,65.7142,576.3343,48.1015,51.8985
1924,000837,秦川机床,1.4123,0.8378,34.3216,-100.1636,48.0685,51.9315
1925,600438,通威股份,0.8678,0.6178,43.0901,442.8284,48.0632,51.9368
