,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,505.8239,0.5227,61.8624,0.6362,67.123
1,000712,锦龙股份,38.3489,0.1014,3.2875,0.1374,16.6167
2,000668,荣丰控股,14.8696,0.0954,,0.1629,61.0021
3,300059,东方财富,3.8609,0.3822,14.2629,0.5491,54.971
4,600620,天宸股份,2.7366,0.1171,1.2961,1.4474,149.1201
5,600793,ST宜纸,2.3087,0.008,2.9384,0.0081,1.3044
6,600773,西藏城投,2.0701,0.2003,43.709,0.2584,35.8287
7,000611,*ST天首,1.9145,0.1817,,0.7822,78.2164
8,300191,潜能恒信,1.7056,0.1064,5.4058,5.1081,1049.1683
9,000068,华控赛格,1.6465,0.263,,0.3636,36.4119
10,600892,大晟文化,1.4635,0.6837,71.5279,0.8117,83.5498
11,600715,文投控股,1.3851,0.0875,,0.0714,14.897
12,600107,美尔雅,1.3108,0.4841,79.5972,0.8824,107.8663
13,000548,湖南投资,1.1978,0.1268,12.6993,0.5791,57.981
14,600705,中航资本,1.0298,0.0269,1.0476,0.0329,4.0686
15,601016,节能风电,0.9465,0.0853,4.929,0.1203,43.5723
16,000697,炼石有色,0.9058,0.1403,2.6563,1.4914,149.135
17,300156,神雾环保,0.8956,0.1108,13.0459,0.2979,33.2273
18,002322,理工环科,0.8446,0.125,2.7317,2.0367,255.6615
19,600106,重庆路桥,0.8267,0.0445,1.1371,0.0836,61.3536
20,600900,长江电力,0.7918,0.1449,1.8004,0.35,102.0053
21,300033,同花顺,0.7734,0.1299,3.3978,0.5273,54.1881
22,600603,*ST兴业,0.7701,0.0938,,0.1212,15.2441
23,600033,福建高速,0.6938,0.0978,2.3121,0.2,46.2963
24,000415,渤海金控,0.691,0.0699,4.0171,0.0859,23.5169
25,600012,皖通高速,0.6821,0.1384,1.8392,0.5177,125.8064
26,600083,博信股份,0.6771,0.3382,7.0417,0.455,45.8333
27,000526,紫光学大,0.6716,0.0629,6.2307,0.2926,29.4885
28,300533,冰川网络,0.6652,0.3518,1.4664,0.8696,86.9593
29,000429,粤高速A,0.6647,0.0773,2.6954,0.1456,85.9406
30,600020,中原高速,0.6541,0.0646,2.8367,0.0805,30.1755
31,600886,国投电力,0.6499,0.1241,2.1079,0.1649,73.2027
32,601188,龙江交通,0.649,0.0773,1.0829,0.4545,47.2612
33,000722,湖南发展,0.6486,0.0577,0.9126,0.316,83.5984
34,000603,盛达矿业,0.6428,0.4235,1.2597,1.5159,158.3646
35,000534,万泽股份,0.6389,0.0964,8.1508,0.181,23.1971
36,300518,盛讯达,0.6317,0.304,1.4801,3.8356,503.286
37,600371,万向德农,0.6295,0.347,105.0837,0.6987,72.452
38,600035,楚天高速,0.6264,0.0785,2.545,0.1344,46.2493
39,000791,甘肃电投,0.6252,0.0674,4.4559,0.0933,52.4267
40,600766,园城黄金,0.6176,0.1282,2.0826,0.1515,15.5602
41,300215,电科院,0.6167,0.0796,3.3523,0.1365,24.4709
42,603568,伟明环保,0.6013,0.1427,1.8016,0.2189,107.2925
43,000916,华北高速,0.5877,0.0666,1.6922,0.2587,32.4504
44,002039,黔源电力,0.5856,0.0676,2.4601,0.0855,59.8537
45,600167,联美控股,0.5849,0.1337,2.3765,0.2034,44.7046
46,000897,津滨发展,0.5791,0.1527,5.3529,0.2099,22.6336
47,600770,综艺股份,0.578,0.0629,2.9277,0.2018,38.9617
48,000831,*ST五稀,0.5756,0.1545,,9.898,1331.0967
49,002316,键桥通讯,0.5667,0.1533,22.0267,0.2724,33.4139
50,300144,宋城演艺,0.5646,0.1374,1.4477,1.6097,163.591
51,600236,桂冠电力,0.5642,0.1453,3.385,0.1971,97.3042
52,600358,国旅联合,0.5624,0.0681,,0.1144,23.1252
53,000156,华数传媒,0.558,0.2421,3.5053,0.4015,59.6638
54,600767,运盛医疗,0.5562,0.1658,3.5251,0.4671,50.8538
55,600201,生物股份,0.5505,0.2789,1.4553,1.2517,135.0263
56,600804,鹏博士,0.5502,0.2496,7.1762,0.3685,43.6661
57,603993,洛阳钼业,0.5456,0.1296,2.0192,0.2816,121.1733
58,300316,晶盛机电,0.5453,0.0706,2.0799,1.0359,106.2197
59,600719,大连热电,0.5418,0.2911,38.8826,0.6641,69.6001
60,000839,中信国安,0.5283,0.1127,6.6198,0.2683,44.1754
61,300315,掌趣科技,0.5275,0.0814,1.1661,0.4118,56.7473
62,601158,重庆水务,0.5263,0.1058,1.5023,0.2976,55.7912
63,601368,绿城水务,0.5231,0.0876,2.1893,0.118,34.6145
64,600009,上海机场,0.5183,0.1295,1.3248,0.7115,176.2472
65,300384,三联虹普,0.5177,0.1605,1.9876,0.3386,34.166
66,300399,京天利,0.5165,0.1503,1.9162,5.5464,554.6399
67,601199,江南水务,0.5143,0.1142,2.1739,0.276,31.0793
68,601020,华钰矿业,0.5143,0.1754,1.6916,0.3555,56.0735
69,002238,天威视讯,0.5092,0.2206,3.0737,1.1238,122.575
