,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,346.2424,0.2427,22.1251,0.3421,35.718
1,000831,*ST五稀,30.8386,0.1636,,18.613,2153.3791
2,600715,文投控股,11.1265,0.0537,,0.0548,15.8925
3,300397,天和防务,11.0829,0.0143,,0.0775,8.5362
4,600683,京投发展,6.2392,0.0286,,0.031,4.1589
5,000712,锦龙股份,5.5326,0.0067,0.3167,0.0101,1.3415
6,000609,绵石投资,4.5212,0.0392,,0.096,9.6857
7,600215,长春经开,4.0771,0.0941,,0.2026,22.8708
8,300156,神雾环保,3.9603,0.0451,53.0386,0.1285,13.2012
9,600643,爱建集团,2.3668,0.0456,1.3629,0.1547,26.8583
10,600606,绿地控股,2.1718,0.0268,,0.0411,5.0797
11,600773,西藏城投,1.8718,0.1225,26.2095,0.1452,31.5026
12,300059,东方财富,1.5453,0.1037,9.4268,0.2429,24.3993
13,600603,*ST兴业,1.421,0.071,33.8961,0.0844,10.6796
14,600053,九鼎投资,1.3645,0.0672,10.6397,0.0944,10.6029
15,002322,理工环科,1.1594,0.0646,5.5908,2.3534,235.3389
16,600892,大晟文化,1.1577,0.5022,338.5493,0.5919,61.8434
17,600506,香梨股份,1.074,0.1681,,2.6615,619.2503
18,000068,华控赛格,1.0488,0.0433,,0.0607,6.0723
19,600696,匹凸匹,1.003,0.0086,,0.017,1.6999
20,600020,中原高速,0.9866,0.0376,4.6108,0.0462,17.3383
21,600265,*ST景谷,0.9757,0.1092,,0.1137,11.3715
22,601016,节能风电,0.9467,0.0433,4.2305,0.0587,20.7792
23,601188,龙江交通,0.9029,0.0463,0.933,0.2244,23.7753
24,000900,现代投资,0.8238,0.0508,4.7638,0.0823,28.7549
25,000766,通化金马,0.821,0.0656,8.3046,0.1539,16.2806
26,000534,万泽股份,0.8145,0.0602,4.4362,0.1152,17.903
27,600962,国投中鲁,0.8102,0.1584,,0.2908,29.1077
28,600033,福建高速,0.7698,0.0523,2.3454,0.1024,40.7634
29,002354,天神娱乐,0.7658,0.143,,0.307,30.7011
30,600598,北大荒,0.751,0.2363,2.4727,0.5783,60.6222
31,000151,中成股份,0.7459,0.2145,8.0572,0.3101,31.0762
32,000037,*ST南电A,0.7396,0.0703,,0.1013,10.3498
33,000429,粤高速A,0.7274,0.0396,2.4684,0.0668,26.5294
34,600354,敦煌种业,0.7151,0.0716,,0.1236,12.4308
35,002287,奇正藏药,0.6969,0.1715,2.0971,1.752,297.9997
36,000415,渤海金控,0.6881,0.0343,3.6034,0.0421,9.7955
37,601969,海南矿业,0.6796,0.1522,2.2474,0.4192,55.6015
38,600678,四川金顶,0.67,0.0434,4.0915,0.0547,5.4651
39,600035,楚天高速,0.6588,0.0262,2.8895,0.0368,11.0554
40,600791,京能置业,0.6528,0.0724,4.2618,0.101,21.0149
41,600106,重庆路桥,0.6428,0.019,0.755,0.0322,51.3226
42,600766,园城黄金,0.6353,0.0407,0.8993,0.0484,4.973
43,300215,电科院,0.6331,0.0466,3.489,0.0888,23.6144
44,002379,*ST鲁丰,0.6318,0.0997,,0.1278,15.6776
45,300382,斯莱克,0.6275,0.1252,1.9725,0.4537,45.6239
46,601199,江南水务,0.6239,0.0581,2.5523,0.1425,15.7752
47,600012,皖通高速,0.6232,0.0574,1.6433,0.153,23.1452
48,600900,长江电力,0.6061,0.0394,1.7324,0.0814,11.2544
49,300144,宋城演艺,0.5953,0.064,1.343,0.7003,70.035
50,002252,上海莱士,0.5864,0.0804,1.838,0.6474,320.1405
51,000722,湖南发展,0.5854,0.0292,0.8412,0.1395,18.2175
52,000673,当代东方,0.5771,0.0675,3.2855,0.0781,7.8148
53,000952,广济药业,0.5612,0.0814,,0.1473,16.267
54,600318,新力金融,0.554,0.18,3.433,0.4057,79.4838
55,603789,星光农机,0.5413,0.2213,2.5664,0.595,64.8974
56,300488,恒锋工具,0.5412,,1.4539,,
57,601872,招商轮船,0.5412,0.0349,2.5592,0.0784,21.938
58,601158,重庆水务,0.541,0.0591,1.3598,0.1545,28.3631
59,000916,华北高速,0.5393,0.0414,1.1281,0.7661,89.3202
60,000018,神州长城,0.5334,0.0139,3.668,0.0389,4.6037
61,002492,恒基达鑫,0.5321,0.0457,2.143,0.2125,34.1595
62,600236,桂冠电力,0.5316,0.0595,3.9767,0.0776,41.7774
63,601368,绿城水务,0.5299,0.0434,2.1576,0.0585,26.4788
64,600886,国投电力,0.5256,0.0469,2.239,0.0594,30.5923
65,000779,三毛派神,0.5228,0.1433,,0.3204,34.1039
66,000603,盛达矿业,0.5199,0.1727,1.0633,0.6391,67.95
67,002079,苏州固锝,0.5156,0.1539,14.8163,1.1356,118.2824
68,600007,中国国贸,0.5088,0.0591,1.9379,0.1271,66.6063
69,600275,武昌鱼,0.499,0.0061,,0.0203,2.0435
70,000088,盐田港,0.493,0.0116,0.2838,0.1124,68.6907
71,002357,富临运业,0.4877,0.0834,1.4269,0.235,23.8026
72,002275,桂林三金,0.4818,0.1275,1.3806,0.7609,104.3584
73,603568,伟明环保,0.4816,0.0522,1.2404,0.0759,36.0692
74,300461,田中精机,0.4788,,2.4526,,
75,002447,壹桥海参,0.474,0.0325,1.2171,0.0905,46.5776
76,600744,华银电力,0.4695,0.0836,,0.0938,19.4275
77,002772,众兴菌业,0.4685,,2.2071,,
78,000598,兴蓉环境,0.4621,0.0532,1.4151,0.1638,24.1526
79,600269,赣粤高速,0.4607,0.0284,2.1661,0.0538,15.6981
80,002342,巨力索具,0.4585,0.0746,9.3855,0.1578,18.2173
81,600503,华丽家族,0.4565,0.0414,19.6766,0.1259,16.0956
82,000035,中国天楹,0.4535,0.035,1.2919,0.0611,20.7403
83,600545,新疆城建,0.4511,0.0767,9.1586,0.1015,11.8455
84,300446,乐凯新材,0.4497,0.149,1.2641,0.4702,59.7581
85,300450,先导智能,0.4495,0.0799,2.0203,0.1392,15.365
86,002039,黔源电力,0.4464,0.0148,,0.0182,10.3925
87,002147,新光圆成,0.4458,0.0647,21.4589,0.1692,17.199
88,600674,川投能源,0.4456,0.0123,0.2534,0.0325,15.8222
89,600804,鹏博士,0.4456,0.1155,5.0961,0.1793,21.6142
90,000966,长源电力,0.4449,0.1336,3.8402,0.1754,27.4073
91,600883,博闻科技,0.4412,0.0055,,0.0726,26.3543
92,600874,创业环保,0.4408,0.0334,2.5782,0.0527,18.6147
93,601985,中国核电,0.4392,0.0179,1.786,0.0224,12.3357
94,000666,经纬纺机,0.4374,0.0533,1.2144,0.1165,13.7441
95,002750,龙津药业,0.4346,0.0926,1.4209,0.2374,27.1558
96,600323,瀚蓝环境,0.4287,0.0385,1.6192,0.0685,17.9405
97,603167,渤海轮渡,0.4255,0.0636,1.5727,0.3117,130.9162
98,000791,甘肃电投,0.423,0.0169,40.064,0.023,14.0765
99,600844,丹化科技,0.4217,0.0512,,0.0927,14.0866
100,600719,大连热电,0.4211,0.1495,9.0402,0.4168,41.6752
101,600377,宁沪高速,0.4183,0.0614,1.1848,0.2259,27.3471
102,600880,博瑞传播,0.4141,0.064,1.7507,0.357,53.8992
103,002501,利源精制,0.4107,0.0722,1.8079,0.1863,22.785
104,300436,广生堂,0.4103,,1.1511,,
105,600897,厦门空港,0.4097,0.0862,1.101,0.8323,83.8256
106,002159,三特索道,0.4094,0.0364,,0.0638,11.3294
107,600548,深高速,0.4069,0.0307,0.446,0.0607,29.3082
108,601991,大唐发电,0.4044,0.0475,5.0037,0.0603,20.033
109,600578,京能电力,0.404,0.0614,1.1258,0.1348,29.586
110,603567,珍宝岛,0.4029,0.0964,1.3807,0.2558,28.7378
111,001896,豫能控股,0.4023,0.1425,2.525,0.207,48.9785
112,002007,华兰生物,0.4002,0.0585,0.7518,0.8268,82.6781
113,600641,万业企业,0.3983,0.0233,0.6903,0.0413,6.449
114,600795,国电电力,0.3967,0.0528,2.7311,0.0698,15.7576
115,000923,河北宣工,0.3955,0.0392,33.0981,0.0576,5.8804
116,000007,全新好,0.3948,0.0334,,0.0759,7.5889
117,000061,农产品,0.3947,0.0259,3.8507,0.0494,7.0741
118,600829,人民同泰,0.3939,0.119,7.2833,0.3372,35.3221
119,002629,仁智油服,0.3922,0.0782,,0.2962,29.6156
120,300342,天银机电,0.388,0.0907,1.7355,0.6838,74.5684
121,600090,同济堂,0.3871,0.1763,3.8346,0.6211,63.2504
122,300146,汤臣倍健,0.3869,0.1444,1.0277,1.7036,176.5989
123,000869,张裕A,0.3865,0.1033,1.3944,0.5542,58.6236
124,002353,杰瑞股份,0.3861,0.081,1.3287,0.2928,29.7787
125,000691,ST亚太,0.3813,0.0133,6.2336,0.0279,3.214
126,600371,万向德农,0.3804,0.0775,,0.1327,13.7094
127,600621,华鑫股份,0.3801,0.0433,1.6361,0.087,12.3517
128,000690,宝新能源,0.3768,0.0947,1.6949,0.1799,65.4739
129,600202,哈空调,0.375,0.0645,,0.0955,11.4424
130,002635,安洁科技,0.3748,0.075,1.7395,0.5863,75.5185
131,600645,中源协和,0.3741,0.051,2.7955,0.0842,8.4481
132,300294,博雅生物,0.3733,0.0766,1.4652,0.9884,108.4508
133,600168,武汉控股,0.3731,0.0306,1.0598,0.0779,17.7166
134,600635,大众公用,0.3715,0.0694,6.5776,0.1166,20.7755
135,300308,中际装备,0.3699,0.0312,,0.1291,44.1233
136,002166,莱茵生物,0.3694,0.0598,4.6196,0.0736,15.3815
137,300460,惠伦晶体,0.3683,0.1201,3.1376,0.2571,28.3251
138,002489,浙江永强,0.3653,0.1474,4.4105,0.4199,42.0657
139,000862,银星能源,0.363,0.0347,,0.0373,20.0114
140,300183,东软载波,0.3626,0.0476,0.8874,0.7642,87.1116
141,000156,华数传媒,0.3604,0.0809,2.4732,0.1322,19.9638
142,600726,华电能源,0.3586,0.0792,5.8916,0.0958,24.2911
143,600018,上港集团,0.3566,0.0552,1.4166,0.1467,21.7439
144,002238,天威视讯,0.3558,0.0754,2.1362,0.3729,41.887
145,600027,华电国际,0.3548,0.0661,3.4968,0.0817,17.6023
146,300394,天孚通信,0.3541,0.1192,0.8512,1.6836,180.2417
147,000795,英洛华,0.3523,0.0815,,0.0932,9.3151
148,002653,海思科,0.3522,0.076,0.8071,0.3273,35.5908
149,603005,晶方科技,0.352,0.0543,1.1077,0.329,52.7665
150,002064,华峰氨纶,0.3507,0.1354,1.9769,0.4004,67.2385
151,000796,凯撒旅游,0.3493,0.0767,4.3226,0.1478,18.8738
152,000029,深深房A,0.349,0.0456,5.7557,0.0763,10.267
153,300102,乾照光电,0.3487,0.033,1.4724,0.2138,24.3661
154,002038,双鹭药业,0.348,0.0669,0.5679,1.938,234.5363
155,002294,信立泰,0.3473,0.1147,0.908,0.6422,67.6608
156,002424,贵州百灵,0.3467,0.0704,1.7735,0.1946,20.139
157,002440,闰土股份,0.3462,0.1319,1.359,0.5164,54.0217
158,300084,海默科技,0.3461,0.0364,4.3214,0.0977,30.5662
159,000600,建投能源,0.3458,0.0798,1.4461,0.1273,36.6513
160,600461,洪城水业,0.3441,0.047,3.1827,0.0755,23.5611
161,600396,金山股份,0.344,0.0501,2.367,0.0628,14.6941
162,000089,深圳机场,0.3416,0.0385,3.7157,0.1035,21.132
163,600798,宁波海运,0.3404,0.0264,,0.042,24.5126
164,002506,协鑫集成,0.3393,0.0161,,0.0089,1.4331
165,000909,数源科技,0.3387,0.0355,6.7546,0.0435,6.1986
166,000883,湖北能源,0.3379,0.0347,1.989,0.0629,9.9551
167,002550,千红制药,0.3374,0.0656,1.2882,1.938,214.2051
168,603993,洛阳钼业,0.3357,0.0552,1.2524,0.1328,53.6327
169,002549,凯美特气,0.3346,0.0369,1.5042,0.1352,19.2901
170,600963,岳阳林纸,0.3344,0.061,,0.0882,11.6205
171,000651,格力电器,0.3336,0.1483,3.3441,0.2065,21.199
172,300462,华铭智能,0.3293,,1.145,,
173,000767,漳泽电力,0.3291,0.0564,7.2438,0.0693,16.8782
174,000049,德赛电池,0.3285,0.3553,6.237,0.5552,59.0792
175,002253,川大智胜,0.3283,0.0231,1.4457,0.1908,23.8522
176,002718,友邦吊顶,0.325,0.1014,1.2061,0.9479,96.1557
177,603300,华铁科技,0.3241,,1.2794,,
178,000568,泸州老窖,0.3235,0.0841,1.166,0.2838,28.6008
179,000022,深赤湾A,0.3226,0.0378,0.9766,0.1045,17.8044
180,601069,西部黄金,0.3215,0.0748,2.2963,0.1632,19.6619
181,002029,七匹狼,0.3207,0.054,2.1768,0.2413,25.6222
182,603023,威帝股份,0.32,,0.7535,,
183,600701,*ST工新,0.3196,0.0406,,0.0658,12.5072
184,000899,赣能股份,0.3196,0.0696,2.3735,0.1014,18.4718
185,002428,云南锗业,0.3192,0.0494,1.4301,0.2178,22.9212
186,600959,江苏有线,0.3175,0.0418,1.5965,0.0938,9.6012
187,300042,朗科科技,0.3169,0.0283,1.8686,0.7759,78.2928
188,300335,迪森股份,0.316,0.0737,2.0002,1.0322,115.3852
189,300485,赛升药业,0.3155,,0.8705,,
190,600009,上海机场,0.3153,0.0395,0.7895,0.208,51.9328
191,002344,海宁皮城,0.3151,0.0534,0.7283,0.1135,13.2884
192,300229,拓尔思,0.3141,0.0287,1.4941,0.2495,33.0561
193,600569,安阳钢铁,0.3109,0.1273,91.6986,0.1636,18.5905
194,002739,万达院线,0.3106,0.187,1.8375,0.5155,51.8529
195,601518,吉林高速,0.3105,0.0221,0.6073,0.06,12.8861
196,300164,通源石油,0.3103,0.0188,,0.0864,13.5899
197,601018,宁波港,0.31,0.0426,1.0555,0.1532,25.8694
198,600317,营口港,0.3086,0.0387,1.645,0.1064,33.0045
199,600004,白云机场,0.3086,0.0783,1.4839,0.3434,37.1264
200,300357,我武生物,0.3085,0.0696,0.8258,2.3841,238.4121
201,603718,海利生物,0.3075,,0.9256,,
202,600831,广电网络,0.307,0.0692,4.3756,0.1076,14.1413
