,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,635.0143,0.5493,194.8583,0.628,66.3866
1,000712,锦龙股份,43.5498,0.057,0.892,0.0763,9.11
2,600753,东方银星,15.3829,0.8759,5.196,2.2291,222.9125
3,600705,中航资本,5.9049,0.127,5.4727,0.1515,18.8076
4,600061,国投安信,4.7633,0.077,2.3262,0.0947,12.3
5,000809,铁岭新城,3.0431,0.0166,,0.0342,8.3451
6,000007,全新好,2.3985,0.4941,17.9292,2.2074,220.7443
7,600793,ST宜纸,1.846,0.0079,2.8465,0.008,1.8699
8,600643,爱建集团,1.7914,0.0602,1.1641,0.1298,20.1812
9,600773,西藏城投,1.5726,0.1082,20.9045,0.1412,27.1269
10,600503,华丽家族,1.4806,0.1176,35.2868,0.3612,36.1207
11,300191,潜能恒信,1.3789,0.0491,,0.6742,78.468
12,600692,亚通股份,1.2216,0.2541,10.6957,0.3436,34.5297
13,600106,重庆路桥,1.2022,0.0525,1.7136,0.0943,50.2387
14,600415,小商品城,1.198,0.2304,10.3,0.3462,39.3749
15,600874,创业环保,1.1946,0.2299,6.7077,0.4255,89.1624
16,300033,同花顺,1.1199,0.4538,1.687,1.1285,114.3604
17,600766,园城黄金,1.0858,0.1109,1.247,0.1555,15.5453
18,600675,*ST中企,1.0587,0.1346,,0.1523,23.5739
19,601016,节能风电,0.9924,0.0757,5.0677,0.1236,38.9428
20,000505,*ST珠江,0.972,0.1514,,0.1333,16.6765
21,000631,顺发恒业,0.9148,0.2673,9.723,0.391,48.1109
22,600033,福建高速,0.8922,0.1256,3.1497,0.2706,143.5412
23,002133,广宇集团,0.8822,0.1737,,0.2738,32.5391
24,000633,*ST合金,0.8792,0.1793,,0.6659,414.2066
25,000544,中原环保,0.8469,0.1815,4.2411,0.3086,49.4538
26,600539,ST狮头,0.8275,0.0775,31.4271,0.2762,27.8749
27,600095,哈高科,0.8158,0.1894,12.351,0.5521,56.6774
28,002039,黔源电力,0.8089,0.1198,3.4476,0.1567,128.4888
29,300302,同有科技,0.7771,0.3046,4.2588,0.8071,84.6053
30,600236,桂冠电力,0.7728,0.1836,1.9889,0.2771,126.5803
31,000615,京汉股份,0.7513,0.2469,6.8807,0.3364,39.3048
32,300223,北京君正,0.7452,0.0464,1.6048,1.4184,280.621
33,600240,华业资本,0.732,0.1691,3.8975,0.2186,30.9797
34,600886,国投电力,0.732,0.1247,2.2664,0.1733,64.8846
35,600900,长江电力,0.7309,0.1248,1.5379,0.3498,95.0064
36,000415,渤海金控,0.7262,0.0532,3.9224,0.0706,21.2874
37,300028,金亚科技,0.7035,0.1839,13.6429,0.2864,28.868
38,603568,伟明环保,0.6777,0.1513,1.5702,0.3405,196.4591
39,000061,农产品,0.6695,0.0721,26.2643,0.1157,16.3589
40,000791,甘肃电投,0.6623,0.0656,28.6297,0.0912,48.3277
41,600311,荣华实业,0.6618,0.053,12.1206,0.5751,59.9736
42,600714,金瑞矿业,0.6538,0.1771,,0.3155,46.9396
43,002447,壹桥海参,0.653,0.1156,1.5214,0.4198,79.4386
44,601985,中国核电,0.6474,0.0644,2.3863,0.0857,46.4814
45,601558,华锐风电,0.6467,0.0682,,0.1009,11.2596
46,000429,粤高速A,0.6451,0.0823,1.8482,0.1667,57.6613
47,002244,滨江集团,0.6379,0.1906,5.352,0.2572,32.0756
48,603718,海利生物,0.6371,0.1626,2.2083,0.7281,190.3252
49,600012,皖通高速,0.6266,0.1253,1.5719,0.4702,142.1746
50,600641,万业企业,0.6168,0.2228,5.703,0.5355,56.3143
51,002366,台海核电,0.615,0.0562,8.9303,0.0859,12.0179
52,300215,电科院,0.6147,0.0671,9.5893,0.1045,13.8527
53,002193,山东如意,0.6108,0.1888,21.1344,0.2939,30.85
54,600895,张江高科,0.6071,0.0793,2.9981,0.1384,22.3406
55,600077,宋都股份,0.6069,0.1531,25.6563,0.2144,30.628
56,600167,联美控股,0.6057,0.1421,2.5987,0.2225,45.0674
57,600381,ST春天,0.5937,0.3938,2.3226,2.3468,463.2471
58,000862,银星能源,0.5898,0.0759,,0.0931,52.7213
59,600804,鹏博士,0.5877,0.2506,6.4901,0.3572,41.0956
60,000517,荣安地产,0.5873,0.0832,6.3952,0.1532,27.753
61,600663,陆家嘴,0.5866,0.063,1.5568,0.0912,12.4548
62,002207,准油股份,0.5786,0.1643,,0.2938,37.971
63,601188,龙江交通,0.5748,0.0613,1.0687,0.2664,27.2761
64,002515,金字火腿,0.5717,0.0741,4.2413,2.3806,314.3821
65,600020,中原高速,0.5671,0.0543,2.2312,0.073,22.1172
66,002549,凯美特气,0.5638,0.0716,,0.2654,40.6178
67,600611,大众交通,0.5609,0.0847,2.2175,0.2237,27.0825
68,600035,楚天高速,0.5601,0.0774,1.6172,0.1432,81.596
69,600794,保税科技,0.5543,0.1099,12.1743,0.2972,77.8627
70,000056,皇庭国际,0.5516,0.0185,3.859,0.0494,34.4534
71,601518,吉林高速,0.543,0.0482,2.0318,0.088,40.3853
72,300144,宋城演艺,0.5402,0.131,1.4181,0.719,138.291
73,600674,川投能源,0.5357,0.0247,0.1526,0.106,42.8099
74,600519,贵州茅台,0.5339,0.202,1.0596,0.8689,86.9568
75,600882,广泽股份,0.528,0.1169,,0.3533,39.1763
76,600721,*ST百花,0.5237,0.1043,,0.1174,13.7001
77,000022,深赤湾A,0.5222,0.1414,1.4981,0.5805,89.8725
78,600777,新潮能源,0.5187,0.0431,6.5241,0.1304,13.3619
79,600548,深高速,0.5179,0.0559,1.1848,0.106,43.0968
80,000978,桂林旅游,0.5168,0.0904,16.2192,0.2062,35.3322
81,002033,丽江旅游,0.5156,0.1479,1.6304,0.7224,184.5574
