,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,603520,司太立,--,--,--,406.0486,--,--
1,002789,建艺集团,--,--,--,438.4602,--,--
2,300506,名家汇,--,--,--,1105.1039,--,--
3,603028,赛福天,--,--,--,804.3374,--,--
4,603868,飞科电器,--,--,--,-47218.6364,--,--
5,603726,朗迪集团,--,--,--,1068.9142,--,--
6,603528,多伦科技,--,--,--,-5564.5894,--,--
7,300510,金冠电气,--,--,--,-9856.6461,--,--
8,603959,百利科技,--,--,--,310.0711,--,--
9,002800,天顺股份,--,--,--,289.8277,--,--
10,300519,新光药业,--,--,--,-10856.0868,--,--
11,600919,江苏银行,--,--,--,--,--,--
12,300521,爱司凯,--,--,--,-4060.2329,--,--
13,600977,中国电影,--,--,--,-8097.9842,--,--
14,002808,苏州恒久,--,--,--,-9348.8863,--,--
15,601595,上海电影,--,--,--,353172.9147,--,--
16,603027,千禾味业,--,--,--,1122.0488,--,--
17,603919,金徽酒,--,--,--,1089.4133,--,--
18,603861,白云电器,--,--,--,912.3121,--,--
19,002791,坚朗五金,--,--,--,8757.4302,--,--
20,603701,德宏股份,--,--,--,5363.7606,--,--
21,300508,维宏股份,--,--,--,-6927.4441,--,--
22,002795,永和智控,--,--,--,2353.459,--,--
23,603101,汇嘉时代,--,--,--,343.2049,--,--
24,300512,中亚股份,--,--,--,-4050.5269,--,--
25,300516,久之洋,--,--,--,3047.995,--,--
26,300515,三德科技,--,--,--,2288.9707,--,--
27,300517,海波重科,--,--,--,696.5547,--,--
28,002805,丰元股份,--,--,--,5734.2892,--,--
29,603843,正平股份,--,--,--,238.4061,--,--
30,603986,兆易创新,--,--,--,-1134.9936,--,--
31,300538,同益股份,--,--,--,--,--,--
32,002788,鹭燕医药,--,--,--,267.6346,--,--
33,002790,瑞尔特,--,--,--,4429.0974,--,--
34,300503,昊志机电,--,--,--,-20453.0283,--,--
35,300505,川金诺,--,--,--,546.5418,--,--
36,300484,蓝海华腾,--,--,--,-8891.2855,--,--
37,603798,康普顿,--,--,--,2162.5714,--,--
38,300507,苏奥传感,--,--,--,-15917.6686,--,--
39,300509,新美星,--,--,--,-1261.0491,--,--
40,300511,雪榕生物,--,--,--,61.7353,--,--
41,002796,世嘉科技,--,--,--,-6903.9153,--,--
42,300513,恒泰实达,--,--,--,561.0029,--,--
43,002799,环球印务,--,--,--,516.2723,--,--
44,002801,微光股份,--,--,--,-3679.3246,--,--
45,300520,科大国创,--,--,--,631.0045,--,--
46,300522,世名科技,--,--,--,4307.8934,--,--
47,300523,辰安科技,--,--,--,--,--,--
48,300528,幸福蓝海,--,--,--,5271.5718,--,--
49,600936,广西广电,--,--,--,1811.6844,--,--
50,603515,欧普照明,--,--,--,--,--,--
51,300501,海顺新材,--,--,--,-11923.4264,--,--
52,300502,新易盛,--,--,--,22905.1422,--,--
53,601020,华钰矿业,--,--,--,650.4925,--,--
54,002792,通宇通讯,--,--,--,-1548.0286,--,--
55,300474,景嘉微,--,--,--,3632.8606,--,--
56,002793,东音股份,--,--,--,-4165.7134,--,--
57,603029,天鹅股份,--,--,--,1204.7477,--,--
58,603822,嘉澳环保,--,--,--,429.7545,--,--
59,603779,威龙股份,--,--,--,155.9404,--,--
60,002800,天顺股份,--,--,--,289.8277,--,--
61,300519,新光药业,--,--,--,-10856.0868,--,--
62,600919,江苏银行,--,--,--,--,--,--
63,300521,爱司凯,--,--,--,-4060.2329,--,--
64,600977,中国电影,--,--,--,-8097.9842,--,--
65,002808,苏州恒久,--,--,--,-9348.8863,--,--
66,601595,上海电影,--,--,--,353172.9147,--,--
67,000831,*ST五稀,1883.3483,666.2356,14411.7214,-593.05,99.5621,0.4379
68,300223,北京君正,143.0746,134.318,8322.8606,90.6774,99.215,0.785
69,600382,广东明珠,38.7236,38.4355,290.4825,-1165529.6636,99.0865,0.9135
70,300333,兆日科技,42.4253,39.6601,3357.2498,-400.6077,98.0651,1.9349
71,300485,赛升药业,48.4133,46.6318,4594.8465,-1136.0258,98.0422,1.9578
72,300191,潜能恒信,81.1494,81.1447,6896.3712,143.8238,97.9517,2.0483
73,002348,高乐股份,25.1085,22.36,1429.0746,-597.1321,97.6852,2.3148
74,002515,金字火腿,20.3677,11.0763,946.6443,-427.8184,97.3163,2.6837
75,300530,达志科技,26.0033,23.4385,1709.2579,-1475.8231,97.1081,2.8919
76,002581,未名医药,27.6084,26.3961,2180.4558,-939.5802,96.9566,3.0434
77,300394,天孚通信,25.7975,23.888,742.7886,-3593.5745,96.858,3.142
78,002279,久其软件,13.8689,13.8474,756.9372,-389.3932,96.7346,3.2654
79,300264,佳创视讯,29.6976,28.117,946.718,302.7323,96.635,3.365
80,600751,天海投资,29.1412,29.1412,886.9606,-155.3668,96.5849,3.4151
81,300042,朗科科技,20.7625,19.8232,1712.9779,-38.1467,96.5787,3.4213
82,300357,我武生物,30.3053,29.6231,2326.804,-1721.614,96.5706,3.4294
83,002621,三垒股份,24.9649,22.9189,1023.7106,-178.8579,96.5617,3.4383
84,002038,双鹭药业,25.0697,24.1806,1474.8394,-4488.0737,96.496,3.504
85,000975,银泰资源,7.9137,7.334,158.4679,-15603.7909,96.3133,3.6867
86,300305,裕兴股份,37.8241,36.0988,2236.3497,-259.6055,96.162,3.838
87,000892,星美联合,24.9903,24.9903,2463.2277,23576.6286,95.9984,4.0016
88,002322,理工环科,19.0713,17.7799,1350.3238,-188.465,95.8474,4.1526
89,000567,海德股份,9.9759,7.5971,7.7072,-63.1542,95.8291,4.1709
90,000068,华控赛格,12.744,12.5996,845.3374,7577.462,95.7456,4.2544
91,300468,四方精创,19.6327,19.0347,1588.5499,-2596.9603,95.5103,4.4897
92,002410,广联达,17.0117,16.9344,1146.3675,-290.4938,95.5008,4.4992
93,300235,方直科技,23.425,22.8732,382.5823,-1684.499,95.4944,4.5056
94,002414,高德红外,17.6769,11.2229,267.4481,-7474.1161,95.4864,4.5136
95,000503,海虹控股,17.4529,17.4433,971.1816,1276.7324,95.4112,4.5888
96,300401,花园生物,12.6906,6.1108,258.6705,-1761.8698,95.3317,4.6683
97,300148,天舟文化,7.8233,7.4925,610.1751,-9370.5724,95.0649,4.9351
98,300086,康芝药业,14.8487,14.0684,293.2642,-341.0225,94.9519,5.0481
99,300306,远方光电,14.9397,14.0651,1369.037,-113.0526,94.8478,5.1522
100,600527,江南高纤,12.2811,7.2808,368.5415,-2078.5969,94.7055,5.2945
101,603099,长白山,11.4441,11.2091,1091.5977,359.6282,94.6128,5.3872
102,600506,香梨股份,16.163,14.5974,1220.7857,3775.5355,94.5884,5.4116
103,300107,建新股份,9.0512,7.8866,368.0356,-784.7987,94.5745,5.4255
104,603696,安记食品,9.2055,7.4793,642.3025,-1703.4833,94.5468,5.4532
105,300365,恒华科技,14.5407,11.0258,481.6987,-2843.1284,94.4422,5.5578
106,300354,东华测试,27.3373,21.8331,1091.4226,-273.0684,94.2574,5.7426
107,002351,漫步者,15.935,14.7386,118.9863,-21103.2775,94.1906,5.8094
108,601519,大智慧,11.2335,11.2318,305.3993,-116.6116,94.1805,5.8195
109,300445,康斯特,11.5325,10.1245,807.5356,2734.4567,94.1013,5.8987
110,002007,华兰生物,11.1758,8.6322,371.4195,-2113.5205,94.0944,5.9056
111,300314,戴维医疗,12.0857,10.8804,1007.9299,-550.7431,93.9307,6.0693
112,600883,博闻科技,23.0348,22.6644,1783.7084,-6481.0014,93.9234,6.0766
113,600206,有研新材,16.6925,13.5827,774.5428,-79.6511,93.8533,6.1467
114,002495,佳隆股份,11.1614,10.252,434.6408,-3377.5143,93.8239,6.1761
115,002168,深圳惠程,16.1208,15.1522,352.1711,40426.6003,93.7855,6.2145
116,300074,华平股份,8.4055,6.8095,182.6502,953.9019,93.7061,6.2939
117,002195,二三四五,6.4814,6.4489,206.6962,-4053.9709,93.6689,6.3311
118,603518,维格娜丝,14.2372,12.2914,978.0057,-831.8131,93.4042,6.5958
119,300494,盛天网络,12.6179,12.5839,949.4182,-1934.4393,93.383,6.617
120,300046,台基股份,12.809000000000001,11.3319,907.8935,-94.2881,93.3724,6.6276
121,002558,世纪游轮,5.1293,2.697,178.6296,-1074.5027,93.2693,6.7307
122,600093,禾嘉股份,13.2766,13.0713,1146.9085,1823.9157,93.2274,6.7726
123,002680,长生生物,14.765,10.0673,502.3079,4.0665,93.2138,6.7862
124,603025,大豪科技,11.8902,10.6645,225.4059,-2511.0339,93.1921,6.8079
125,002180,艾派克,14.3182,13.2863,1135.3623,-2025.4395,93.1181,6.8819
126,300150,世纪瑞尔,13.1351,11.8412,834.5638,-190.9101,93.0521,6.9479
127,002365,永安药业,8.8052,7.856,100.7095,-669.7477,93.0263,6.9737
