,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300537,广信材料,0.11,,3.35,3.34,0.06,826.39,,,08-09
1,300533,冰川网络,0.6,-11.76,,9.02,,4469.47,-11.95,,07-29
2,300535,达威股份,0.24,33.33,,,,1069.63,33.85,,07-28
3,300532,今天国际,0.09,,5.91,1.48,-0.22,546.51,,,07-28
4,601997,贵阳银行,0.45,18.42,,5.63,,80876.8,19.86,,07-27
5,002807,江阴银行,0.11,-11.05,,2.42,,17679.0,-11.09,,07-26
6,600936,广西广电,0.08,-20.0,,,,11221.86,-15.86,,07-26
7,300531,优博讯,0.25,,4.68,5.46,-0.44,1492.05,,,07-25
8,002808,苏州恒久,0.06,-38.04,,1.74,,509.97,-38.34,,07-25
9,603843,正平股份,-0.05,-0.0,,-2.17,,-1503.68,56.55,,07-25
10,603569,长久物流,0.21,10.53,,8.01,,7474.56,10.92,,07-21
11,601811,新华文轩,0.15,,6.11,2.44,-0.17,17301.29,,,07-19
12,300528,幸福蓝海,0.07,-46.15,,1.27,,1643.13,-44.07,,07-18
13,300527,华舟应急,0.01,,,0.22,,206.23,,,07-15
14,300529,健帆生物,0.13,30.0,,7.98,,4689.47,23.97,,07-14
15,603322,超讯通信,0.01,-150.0,,0.34,,80.7,-164.76,,07-14
16,300526,中潜股份,0.14,,,3.23,,880.04,53.28,,07-13
17,300525,博思软件,0.03,,,0.74,,167.61,,,07-13
18,002806,华锋股份,0.05,,,1.36,,309.26,1192.3,,07-12
19,603663,三祥新材,0.08,33.33,,3.16,,768.93,22.28,,07-11
20,300522,世名科技,0.25,8.7,4.41,5.73,0.12,1248.15,6.87,,07-04
21,002803,吉宏股份,0.07,40.0,,2.37,,639.62,41.03,,06-22
22,300521,爱司凯,0.1,25.0,,2.52,,587.08,28.16,,06-22
23,002805,丰元股份,0.09,-52.63,,1.61,,669.96,-50.78,,06-20
