,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
317,002620,瑞和股份,0.6508,553.1653,5.9883,60.1172,0.4252,846.6604
318,601168,西部矿业,5.7689,62.4036,5.9798,60.2027,0.8815,408.3948
319,300350,华鹏飞,1.1205,321.2851,5.9583,60.4199,0.5435,662.3735
320,600500,中化国际,6.7744,53.1412,5.9473,60.5317,1.3922,258.5835
321,300343,联创互联,3.6286,99.2118,5.9452,60.5531,0.8913,403.9044
322,000012,南玻A,17.08,21.0773,5.9344,60.6633,1.6391,219.6327
323,000693,ST华泽,12.0343,29.9145,5.9037,60.9787,1.1811,304.8006
324,600026,中海发展,3.7777,95.2961,5.8872,61.1496,1.0314,349.0401
325,000017,深中华A,18.4865,19.4737,5.8651,61.38,0.8091,444.9388
326,000785,武汉中商,110.0616,3.2709,5.8417,61.6259,1.823,197.4767
327,600490,鹏欣资源,10.7218,33.5765,5.8036,62.0305,0.7151,503.4261
328,600511,国药股份,2.7496,130.9281,5.7967,62.1043,1.3596,264.7838
329,600141,兴发集团,7.5108,47.931,5.7518,62.5891,1.6279,221.1438
330,600758,红阳能源,3.9828,90.3887,5.7314,62.8119,1.8675,192.7711
331,002061,*ST江化,10.01,35.964,5.6855,63.319,1.1857,303.6181
332,600719,大连热电,3.7104,97.0246,5.668,63.5145,0.9594,375.2345
333,600419,天润乳业,7.0101,51.3545,5.6448,63.7755,1.0471,343.8067
334,601233,桐昆股份,82.6347,4.3565,5.624,64.0114,2.0008,179.928
335,002548,金新农,10.0846,35.698,5.6134,64.1323,1.6026,224.635
336,600690,青岛海尔,9.6308,37.3801,5.6115,64.154,0.9013,399.4231
337,002567,唐人神,56.98,6.318,5.6076,64.1986,3.4124,105.4976
338,601872,招商轮船,4.3568,82.6295,5.561,64.7366,0.1909,1885.8041
339,000550,江铃汽车,19.3852,18.5709,5.5608,64.7389,1.1335,317.6004
340,002085,万丰奥威,2.8493,126.3468,5.56,64.7482,1.1726,307.0101
341,002416,爱施德,15.6213,23.0455,5.5553,64.803,2.1936,164.1138
342,000752,西藏发展,,,5.555,64.8065,0.23,1565.2174
343,002186,全聚德,23.6857,15.199,5.5483,64.8847,1.4431,249.463
344,000411,英特集团,2.8653,125.6413,5.5415,64.9644,1.4607,246.4572
345,600293,三峡新材,9.9526,36.1715,5.5356,65.0336,0.6243,576.6458
346,000523,广州浪奇,3.2951,109.2531,5.5274,65.1301,1.2731,282.7743
347,002589,瑞康医药,1.3635,264.0264,5.5197,65.2209,0.8475,424.7788
348,300136,信维通信,1.6902,212.9925,5.4978,65.4807,0.7722,466.2005
349,300104,乐视网,2.3521,153.0547,5.4939,65.5272,1.0005,359.8201
350,600792,云煤能源,10.8981,33.0333,5.4813,65.6779,1.0566,340.7155
351,603026,石大胜华,22.2991,16.1441,5.4796,65.6982,3.3738,106.7046
352,002482,广田集团,0.8238,436.9993,5.4738,65.7678,0.4867,739.6754
353,601666,平煤股份,7.4699,48.1934,5.4661,65.8605,1.0576,340.3933
354,601368,绿城水务,5.5065,65.3773,5.4344,66.2447,0.6203,580.3643
355,600307,酒钢宏兴,215.7651,1.6685,5.4315,66.28,2.1866,164.6392
356,601001,大同煤业,2.104,171.1027,5.4162,66.4673,0.5991,600.9014
357,600959,江苏有线,7.7455,46.4786,5.4137,66.498,0.5837,616.7552
358,000822,山东海化,13.9329,25.8381,5.4044,66.6124,1.3414,268.3763
359,600497,驰宏锌锗,82.1979,4.3797,5.3935,66.747,2.1637,166.3817
360,300244,迪安诊断,2.0432,176.1942,5.3909,66.7792,0.9512,378.4693
361,002157,正邦科技,26.9004,13.3827,5.3729,67.0029,2.8617,125.7994
362,002386,天原集团,25.1991,14.2862,5.3709,67.0279,0.9771,368.4372
363,600688,上海石化,25.4271,14.1581,5.3687,67.0553,3.8282,94.039
364,002279,久其软件,1.2132,296.7359,5.3549,67.2281,0.2623,1372.4743
365,600180,瑞茂通,4.3921,81.9653,5.3434,67.3728,0.5774,623.4846
366,600695,绿庭投资,3.4912,103.1164,5.3386,67.4334,0.7367,488.6657
367,002217,合力泰,4.174,86.2482,5.3215,67.6501,1.2241,294.0936
368,600997,开滦股份,4.9157,73.2347,5.3082,67.8196,1.0325,348.6683
369,000418,小天鹅A,6.2055,58.0131,5.2998,67.9271,0.633,568.7204
370,000028,国药一致,1.9265,186.8674,5.2856,68.1096,1.1438,314.7403
371,600976,健民集团,2.8414,126.6981,5.2817,68.1599,0.8352,431.0345
372,000950,*ST建峰,606.9185,0.5932,5.2801,68.1805,0.9306,386.8472
373,600973,宝胜股份,1.6637,216.3852,5.2754,68.2413,0.8928,403.2258
374,000612,焦作万方,17.9681,20.0355,5.2705,68.3047,1.4545,247.5077
375,300166,东方国信,0.7106,506.6141,5.27,68.3112,0.3177,1133.1445
376,603368,柳州医药,1.8012,199.8668,5.2691,68.3229,1.0117,355.8367
377,600785,新华百货,86.5335,4.1602,5.2649,68.3774,1.8403,195.6203
378,000902,新洋丰,19.0021,18.9453,5.2494,68.5793,2.1497,167.4652
379,601216,君正集团,26.4967,13.5866,5.2435,68.6564,1.0419,345.5226
380,600896,中海海盛,3.6694,98.1087,5.2314,68.8152,0.9264,388.601
381,600128,弘业股份,5.0909,70.7144,5.231,68.8205,0.8108,444.0059
382,002732,燕塘乳业,31.4489,11.4471,5.2169,69.0065,1.8115,198.7303
383,600637,东方明珠,1.6705,215.5043,5.215,69.0316,0.4348,827.9669
