,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,236.89,0.4004,25.4636,0.5169,53.2248
1,600485,信威集团,11.7365,0.1141,474.5382,0.5092,67.1843
2,600683,京投发展,10.4481,0.0816,,0.0879,11.3713
3,000712,锦龙股份,9.8521,0.0338,1.1299,0.0495,6.6398
4,600715,文投控股,8.7834,0.0647,,0.0635,18.5618
5,300059,东方财富,5.7247,0.4412,30.3246,0.7406,74.2282
6,000668,荣丰控股,4.52,0.0221,,0.0392,11.6209
7,600773,西藏城投,2.6402,0.1763,56.2188,0.2015,34.8531
8,000068,华控赛格,2.2098,0.1357,,0.1874,18.7577
9,600215,长春经开,1.9857,0.1104,,0.2359,27.3687
10,300156,神雾环保,1.6736,0.0509,13.1981,0.1571,16.1921
11,000831,*ST五稀,1.5105,0.257,,2.4717,249.6343
12,600606,绿地控股,1.2747,0.0205,,0.0319,4.1226
13,000526,紫光学大,1.1436,0.0672,19.1733,0.3039,30.6222
14,600892,大晟文化,1.1023,0.4985,181.2775,0.5882,61.4555
15,601016,节能风电,1.0236,0.0633,7.1132,0.0881,32.2937
16,600020,中原高速,0.9504,0.0551,3.9973,0.0682,23.7676
17,000609,绵石投资,0.8667,0.0144,8.418,0.0351,3.5431
18,000150,宜华健康,0.8011,0.0248,85.656,0.0355,4.2698
19,600106,重庆路桥,0.7848,0.0323,1.029,0.0593,133.0939
20,000603,盛达矿业,0.7845,0.3695,1.5339,1.078,112.0816
21,002322,理工环科,0.7595,0.0689,4.7269,2.6185,261.85
22,000429,粤高速A,0.7297,0.0644,2.2566,0.1157,69.3146
23,000722,湖南发展,0.7287,0.0551,1.0461,0.2965,78.1368
24,601188,龙江交通,0.7147,0.0602,0.8511,0.3004,31.842
25,600033,福建高速,0.7049,0.0741,2.1425,0.1481,54.3564
26,002622,永大集团,0.6857,0.0532,2.6115,0.8161,84.5952
27,601199,江南水务,0.6754,0.0933,2.6183,0.2225,24.7427
28,600012,皖通高速,0.6749,0.0936,1.7577,0.2623,40.9669
29,600265,*ST景谷,0.6635,0.1213,,0.124,12.3964
30,600900,长江电力,0.6629,0.091,1.4468,0.2029,49.683
31,000862,银星能源,0.6621,0.0719,,0.0856,71.6285
32,000035,中国天楹,0.6611,0.0655,1.8993,0.1423,44.6012
33,600035,楚天高速,0.6363,0.0593,2.0392,0.1005,37.3975
34,000415,渤海金控,0.6184,0.0469,3.3596,0.0577,14.4808
35,000900,现代投资,0.6138,0.058,3.3604,0.0929,28.6695
36,600886,国投电力,0.6105,0.0898,1.8559,0.117,52.4149
37,600053,九鼎投资,0.6085,0.0873,6.3251,0.126,14.2701
38,300215,电科院,0.6067,0.0648,3.2109,0.1184,27.0922
39,300144,宋城演艺,0.5979,0.1132,1.344,1.3407,134.0743
40,002357,富临运业,0.5972,0.1447,1.8026,0.3903,39.472
41,300384,三联虹普,0.5931,0.1365,2.4794,0.2863,28.9673
42,600236,桂冠电力,0.5904,0.1119,2.9741,0.1509,86.6456
43,601158,重庆水务,0.5901,0.0951,1.3633,0.267,50.5981
44,002492,恒基达鑫,0.5621,0.0681,2.1366,0.3326,53.9276
45,300345,红宇新材,0.5616,0.091,40.9465,0.3748,37.481
46,002447,壹桥海参,0.5601,0.0515,1.5001,0.147,72.845
47,600767,运盛医疗,0.5537,0.128,5.4532,0.3391,36.694
48,600804,鹏博士,0.5532,0.2052,6.7542,0.3142,37.2851
49,600962,国投中鲁,0.5486,0.1618,,0.2909,29.11
50,002320,海峡股份,0.547,0.1227,4.2142,3.7527,-746.1929
51,603789,星光农机,0.5427,,2.3158,,
52,000018,神州长城,0.5414,0.0219,3.7068,0.0602,7.0861
53,601985,中国核电,0.5394,0.0337,1.9296,0.0424,29.225
54,603099,长白山,0.532,0.1605,1.4898,1.979,214.2968
55,601368,绿城水务,0.531,0.0679,1.9133,0.0924,36.6677
56,603568,伟明环保,0.5299,,1.3122,,
57,000088,盐田港,0.5221,0.0188,0.3103,0.157,107.0833
58,600007,中国国贸,0.5163,0.0865,1.9729,0.1813,96.4083
59,300382,斯莱克,0.5121,0.1196,1.6945,0.4697,47.249
60,000916,华北高速,0.5091,0.0538,1.1642,0.5111,56.5094
61,002399,海普瑞,0.5026,0.0755,3.2412,0.542,122.2959
62,000598,兴蓉环境,0.5004,0.0779,1.3838,0.2021,37.8131
63,000791,甘肃电投,0.4908,0.037,2.8057,0.051,30.6153
64,002039,黔源电力,0.4869,0.0465,1.7615,0.0587,34.1917
65,600593,大连圣亚,0.4822,0.1602,2.0703,0.336,55.4012
66,600548,深高速,0.4714,0.0547,0.633,0.1185,67.6455
67,300488,恒锋工具,0.4694,0.1686,1.2762,1.4427,190.4053
68,002252,上海莱士,0.469,0.0912,1.2187,0.6764,213.1999
69,000666,经纬纺机,0.4681,0.088,1.3708,0.1952,22.9541
70,600323,瀚蓝环境,0.4674,0.0636,1.8112,0.1146,28.157
71,600897,厦门空港,0.4668,0.1424,1.2512,1.4017,141.0782
72,000952,广济药业,0.4665,0.1148,,0.2026,22.6145
73,600598,北大荒,0.4636,0.2069,1.5942,0.6382,67.4492
74,600621,华鑫股份,0.4596,0.0621,2.2092,0.1254,18.377
75,600064,南京高科,0.4561,0.0512,2.8505,0.0785,8.6521
76,300461,田中精机,0.4537,,2.1081,,
77,600674,川投能源,0.4534,0.0174,0.1231,0.0616,25.9719
78,600318,新力金融,0.4512,0.2161,3.6349,0.5057,95.149
79,300446,乐凯新材,0.4499,,1.1929,,
80,600874,创业环保,0.447,0.0528,2.2729,0.0853,31.0553
81,600719,大连热电,0.4444,0.174,,0.4678,46.7822
82,300183,东软载波,0.4406,0.0974,1.0566,1.1798,129.4895
83,600766,园城黄金,0.4387,0.0379,0.6794,0.0457,4.6936
84,000061,农产品,0.4363,0.0412,4.1521,0.078,11.1671
85,000766,通化金马,0.4328,0.0533,10.8711,0.1127,15.0245
86,300436,广生堂,0.4328,0.401,1.222,1.3146,177.1729
87,600578,京能电力,0.4322,0.1018,1.2241,0.2251,44.9347
88,601991,大唐发电,0.4317,0.075,4.4445,0.0962,33.9383
89,600269,赣粤高速,0.4294,0.0376,2.1969,0.0679,19.8818
90,600503,华丽家族,0.4294,0.0302,75.1668,0.1429,18.2978
