,code,name,type,report_date,pre_eps,range
0,002312,三泰控股,预亏,2016-04-30,0.25,-140.33
1,600677,航天通信,预盈,2016-04-29,-0.5921,0
2,000511,*ST烯碳,预盈,2016-04-29,-0.23,100.84
3,000767,漳泽电力,预降,2016-04-29,0.2443,-14.21
4,002052,同洲电子,预盈,2016-04-29,-0.61,116.11
5,002289,*ST宇顺,预亏,2016-04-28,-1.9735,-235.73
6,000961,中南建设,预减,2016-04-27,0.82,-68.72%~-61.43%
7,300063,天龙集团,预增,2016-04-27,0.0077,2898.63
8,000693,ST华泽,预亏,2016-04-16,0.3905,-139.66
9,300142,沃森生物,预亏,2016-04-27,0.61,-686.3
10,600567,山鹰纸业,预增,2016-04-26,0.03,80%~120%
11,000939,凯迪生态,预增,2016-04-26,0.22,85.11%~94.85%
12,600882,广泽股份,预亏,2016-04-25,0.29,0
13,002526,山东矿机,预亏,2016-04-25,0.0049,-10299.2
14,300016,北陆药业,预减,2016-04-25,0.28,-62.45
15,300028,金亚科技,预增,2016-04-25,0.1,917.7%~941.83%
16,600165,新日恒力,预盈,2016-04-23,-0.394,0
17,600802,福建水泥,预亏,2016-04-23,0.13,0
18,600546,*ST山煤,预亏,2016-04-23,-0.87,0
19,002392,北京利尔,预亏,2016-04-22,0.34,-122.85
20,000612,焦作万方,预减,2016-04-22,0.305,-98.79
21,600146,商赢环球,预亏,2016-04-22,0.066,0
22,002506,协鑫集成,预减,2016-04-22,1.07,-76.3
23,600569,安阳钢铁,预亏,2016-04-22,0.012,0
24,600586,金晶科技,预盈,2016-04-21,-0.14,113.72
25,000017,深中华A,预亏,2016-04-21,0.0089,-106%~-102%
26,600097,开创国际,预亏,2016-04-21,0.52,0
27,600708,光明地产,预增,2016-04-21,0.3222,200%~230%
28,600892,大晟文化,预增,2016-04-21,0.02,242.31
29,002167,东方锆业,预亏,2016-04-21,0.01,-7703.99
30,600984,建设机械,预盈,2016-04-21,-0.5292,104.76
31,601106,中国一重,预亏,2016-04-20,0.0039,0
32,600189,吉林森工,预增,2016-04-20,0.03,321.49
33,002263,大东南,预升,2016-04-20,0.02,32.19
34,600701,*ST工新,预亏,2016-04-20,-0.0294,0
35,002660,茂硕电源,预盈,2016-04-20,-0.19,133.22
