,code,name,type,report_date,pre_eps,range
0,002069,*ST獐岛,预亏,2014-10-31,0.09,-1388.6
1,600105,永鼎股份,预增,2014-10-29,0.062,430
2,601216,君正集团,预增,2014-10-28,0.3005,55.54
3,600667,太极实业,预增,2014-10-24,0.001,243.26
4,002479,富春环保,预升,2014-10-23,0.1702,5%~10%
5,600710,*ST常林,减亏,2014-10-23,-0.21,0
6,600769,祥龙电业,预盈,2014-10-23,-0.4061,0
7,600146,商赢环球,预亏,2014-10-23,-0.07,0
8,000629,*ST钒钛,预升,2014-10-23,0.0707,10%
9,601218,吉鑫科技,预增,2014-10-22,0.01,400%~450%
10,600496,精工钢构,预升,2014-10-21,0.28,30%~35%
11,600689,上海三毛,预盈,2014-10-21,-0.044,0
12,601100,恒立液压,预减,2014-10-21,0.3278,-65%~-60%
13,600882,广泽股份,预降,2014-10-21,0.46,-22.31
14,600743,华远地产,预降,2014-10-18,0.17,-7.54
15,002535,林州重机,预降,2014-10-18,0.31,-80%~-40%
16,600178,东安动力,减亏,2014-10-18,-0.0951,0
17,600398,海澜之家,预增,2014-10-18,0.19,1200
18,600872,中炬高新,预增,2014-10-18,0.1694,54
19,600428,中远航运,预盈,2014-10-17,-0.025,548.19
20,600680,上海普天,预亏,2014-10-17,0.024,0
21,600462,九有股份,0,2014-10-17,0.2103,-97%
22,002191,劲嘉股份,预升,2014-10-17,0.55,23.33
23,000662,天夏智慧,预亏,2014-10-16,-0.1041,0
24,002030,达安基因,预升,2014-10-16,0.24,-18.62%~8.51%
25,600797,浙大网新,预亏,2014-10-16,0.03,0
26,002256,彩虹精化,预降,2014-10-16,0.18,-11.68%~-2.85%
27,002127,南极电商,预盈,2014-10-16,-0.44,0
28,000711,京蓝科技,预亏,2014-10-16,-0.01,-1399%~-1271%
29,000995,*ST皇台,减亏,2014-10-16,-0.15,0
30,000908,景峰医药,减亏,2014-10-16,-0.033,0
31,000591,太阳能,预亏,2014-10-16,0.0939,-105
32,002577,雷柏科技,预增,2014-10-16,0.1188,90%~105%
33,603688,石英股份,预降,2014-10-16,0.33,-20%~-15%
34,000890,法尔胜,预升,2014-10-16,0.0145,30%
35,600617,国新能源,预增,2014-10-15,-0.05,60%~100%
36,600888,新疆众和,预亏,2014-10-15,0.0988,0
37,600268,国电南自,预亏,2014-10-15,-0.1119,0
38,000762,西藏矿业,预亏,2014-10-15,,
