,code,name,type,report_date,pre_eps,range
0,000656,金科股份,预降,2015-08-29,0.39,-9.89
1,600007,中国国贸,预升,2015-08-26,0.28,7.63
2,601608,中信重工,预降,2015-08-24,0.1,-47.12
3,600100,同方股份,预增,2015-08-22,0.0191,1982%~2030%
4,000883,湖北能源,预增,2015-08-19,0.19,172.25
5,300152,科融环境,预升,2015-08-19,0.108,15%~45%
6,002491,通鼎互联,预降,2015-08-15,0.2919,-23.9
7,601519,大智慧,预减,2015-08-15,0.009,-82
8,600366,宁波韵升,预增,2015-08-14,0.2776,50%~60%
9,600807,天业股份,预增,2015-08-14,0.04,221.38
10,300348,长亮科技,预增,2015-08-14,0.0057,980.05
11,002575,群兴玩具,预降,2015-08-13,0.06,-40%~-10%
12,600850,华东电脑,预升,2015-08-12,0.2781,14.55
13,600758,红阳能源,预降,2015-08-11,0.0477,-5.6
14,600136,当代明诚,预盈,2015-08-11,-0.01,0
15,600689,上海三毛,减亏,2015-08-11,-0.074,0
16,000603,盛达矿业,预增,2015-08-10,0.17,61.88
17,603333,明星电缆,预盈,2015-08-08,-0.04,0
18,002740,爱迪尔,预降,2015-08-07,0.53,-20%~0%
19,600027,华电国际,预升,2015-08-07,0.363,25%~35%
20,600318,新力金融,预减,2015-08-07,0.42,-90
21,000792,盐湖股份,预降,2015-08-07,0.27,-15.95
22,600898,三联商社,预盈,2015-08-07,0.0552,0
23,600699,均胜电子,预升,2015-08-06,0.246,20.37
24,600133,东湖高新,预减,2015-08-06,0.09,-80%~-60%
25,600137,浪莎股份,预减,2015-08-06,0.056,-80.73
26,600037,歌华有线,预增,2015-08-06,0.179,57.61
27,000889,茂业通信,预升,2015-08-06,0.1381,46.3
28,603118,共进股份,预升,2015-08-05,0.5,20.98
29,600686,金龙汽车,预增,2015-08-05,0.18,86.44
30,000665,湖北广电,预增,2015-08-04,0.26,59.99
31,000411,英特集团,预升,2015-08-04,0.1593,0%~10%
32,600719,大连热电,预增,2015-08-03,0.094,50%~60%
33,002386,天原集团,预亏,2015-08-01,-0.0789,-123.49
34,000507,珠海港,预盈,2015-08-01,-0.0342,285
35,002007,华兰生物,预升,2015-08-01,0.4916,8.37
36,002584,西陇科学,预升,2015-08-01,0.21,15.07
37,600281,太化股份,预亏,2015-08-01,0.003,0
38,600658,电子城,预减,2015-08-01,0.7,-90.52
39,600870,厦华电子,预盈,2015-08-01,-0.4371,0
40,600635,大众公用,预增,2015-07-31,0.0751,160%~210%
41,600568,中珠医疗,预增,2015-07-31,0.0294,400%~450%
42,600126,杭钢股份,预亏,2015-07-31,0.01,0
43,601069,西部黄金,预减,2015-07-31,0.1393,-90%~-80%
44,002212,南洋股份,预升,2015-07-31,0.05,2.76
45,601231,环旭电子,预降,2015-07-31,0.34,-31.22
46,002062,宏润建设,预升,2015-07-31,0.12,0.81
47,002098,浔兴股份,预降,2015-07-31,0.342,-14.61
48,002094,青岛金王,预增,2015-07-31,0.059,91.12
49,600959,江苏有线,预升,2015-07-31,0.16,13.6
50,002080,中材科技,预增,2015-07-31,0.0892,406.77
51,002033,丽江旅游,预升,2015-07-31,0.309,29.21
52,002472,双环传动,预升,2015-07-31,0.18,21.86
53,002195,二三四五,预增,2015-07-31,0.2275,609.52
54,002447,壹桥海参,预降,2015-07-31,0.18,-33.28
55,002126,银轮股份,预升,2015-07-31,0.25,27.92
56,002254,泰和新材,预降,2015-07-31,0.18,-38.27
57,600392,盛和资源,预增,2015-07-31,0.0198,189.97
58,002102,冠福股份,预增,2015-07-31,0.0062,924.78
59,002709,天赐材料,预降,2015-07-31,0.25,-0.29
60,600824,益民集团,预升,2015-07-31,0.127,10.08
61,002071,长城影视,预升,2015-07-31,0.098,26.63
62,002188,巴士在线,预亏,2015-07-31,-0.04,-70.65
63,002236,大华股份,预降,2015-07-31,0.44,-8.4
64,002411,必康股份,预升,2015-07-31,0.01,5.43
65,002420,毅昌股份,预盈,2015-07-31,-0.0292,195.32
66,002425,凯撒股份,预增,2015-07-31,0.022,85.08
67,002431,棕榈股份,预降,2015-07-31,0.339,-18.01
68,002505,大康农业,预增,2015-07-31,0.0056,115.79
69,600851,海欣股份,预增,2015-07-31,0.0169,380
70,601919,中国远洋,预盈,2015-07-31,-0.22,0
71,002057,中钢天源,预降,2015-07-31,0.0364,-44.8
72,002140,东华科技,预降,2015-07-31,0.2166,-16.08
73,002296,辉煌科技,预升,2015-07-31,0.1068,31.09
74,002321,华英农业,预盈,2015-07-31,-0.123,140.12
75,002426,胜利精密,预升,2015-07-31,0.1005,19.44
76,002519,银河电子,预增,2015-07-31,0.22,102.87
77,002660,茂硕电源,预亏,2015-07-31,0.0054,-2151.93
78,002739,万达院线,预增,2015-07-31,0.84,50.51
79,002112,三变科技,预降,2015-07-31,0.04,-26.84
80,002159,三特索道,预亏,2015-07-31,-0.23,-9.72
81,002180,艾派克,预升,2015-07-31,-0.032,4.78
82,002336,*ST人乐,预增,2015-07-31,0.0296,282.3
83,002471,中超控股,预升,2015-07-31,0.12,3.18
84,002024,苏宁云商,预盈,2015-07-31,-0.1,145.73
85,600869,智慧能源,预增,2015-07-31,0.1,55%~75%
86,600423,柳化股份,预亏,2015-07-31,-0.05,0
87,002025,航天电器,预升,2015-07-31,0.29,17.38
88,002074,国轩高科,预增,2015-07-31,0.08,214.16
89,002641,永高股份,预升,2015-07-31,0.22,22.33
