,code,name,type,report_date,pre_eps,range
0,600817,*ST宏盛,预亏,2015-04-29,0.02,0
1,000511,*ST烯碳,预亏,2015-04-29,0.06,0
2,002288,超华科技,预减,2015-04-28,0.116,-85.24
3,000415,渤海金控,预降,2015-04-23,0.83,-13.5%~-11.6%
4,600247,ST成城,预亏,2015-04-28,-0.41,0
5,600408,安泰集团,预亏,2015-04-28,-0.24,0
6,002211,宏达新材,预盈,2015-04-27,-2.03,101.43
7,002358,森源电气,预升,2015-04-27,0.72,1.24
8,000611,*ST天首,预亏,2015-04-17,0.035,-458.07
9,300282,汇冠股份,预盈,2015-04-27,-0.12,226.1
10,002565,上海绿新,预亏,2015-04-25,0.67,-125.06%~-119.35%
11,000629,*ST钒钛,预亏,2015-04-15,0.0639,-482.29
12,002336,*ST人乐,预亏,2015-04-24,0.0,-2142.74
13,002352,鼎泰新材,预降,2015-04-24,0.52,-40.11
14,002638,勤上光电,预减,2015-04-24,0.28,-87.28
15,600145,*ST新亿,预亏,2015-04-23,-0.23,0
16,002193,山东如意,预亏,2015-04-23,0.0,-174.93
17,300308,中际装备,预降,2015-04-22,0.12,-42.66
18,601216,君正集团,预升,2015-04-22,0.4002,49.36
19,002591,恒大高新,预减,2015-04-22,0.2433,-81.34
20,600401,海润光伏,预亏,2015-04-21,-0.1955,0
21,002608,*ST舜船,预亏,2015-04-21,0.56,-752.63
22,000616,海航投资,预降,2015-04-21,0.15,-11.02%~-6.34%
23,600586,金晶科技,预亏,2015-04-21,0.0,0
24,002379,*ST鲁丰,预亏,2015-04-18,0.02,-4766.55
25,600710,*ST常林,减亏,2015-04-18,-0.34,0
26,002306,中科云网,预亏,2015-04-18,-0.71,-21.07
27,002694,顾地科技,预减,2015-04-18,0.53,-69.67
28,600652,游久游戏,预亏,2015-04-17,0.01,0
29,002549,凯美特气,预降,2015-04-17,0.0,-46.52
30,300052,中青宝,预亏,2015-04-17,0.2,-143.18
31,000004,国农科技,预盈,2015-04-16,-0.0123,467.86
32,000693,ST华泽,预增,2015-04-16,0.2693,88.34
33,000995,*ST皇台,预亏,2015-04-16,-0.17,-34.07
