,code,name,type,report_date,pre_eps,range
0,002504,弘高创意,预升,2016-08-29,0.27,8.1%~17.11%
1,600075,新疆天业,预增,2016-08-26,0.06,850%~950%
2,300201,海伦哲,预盈,2016-08-26,-0.0316,128.79%~136.89%
3,600160,巨化股份,预降,2016-08-25,0.047,-43.04
4,600007,中国国贸,预升,2016-08-25,0.3,23.75
5,600648,外高桥,预升,2016-08-23,0.2747,17.62
6,000710,天兴仪表,减亏,2016-08-22,-0.032,0
7,600103,青山纸业,预盈,2016-08-20,-0.07,0
8,601901,方正证券,预降,2016-08-20,0.3554,-26.45
9,603069,海汽集团,预降,2016-08-19,0.21,-22.22
10,000893,东凌国际,预盈,2016-08-18,-0.08,0
11,603011,合锻智能,预增,2016-08-17,0.07,70%~90%
12,600702,沱牌舍得,预增,2016-08-16,0.02,243.53
13,002502,骅威文化,预增,2016-08-15,0.07,252.05
14,600959,江苏有线,预降,2016-08-13,0.17,-2.36
15,601100,恒立液压,预降,2016-08-12,0.06,-29.61
16,600213,亚星客车,预盈,2016-08-12,-0.19,0
17,600976,健民集团,预降,2016-08-11,0.31,-11.37
18,600081,东风科技,预降,2016-08-10,0.3771,-48.53
19,601088,中国神华,预降,2016-08-10,0.59,-18.6
20,600896,中海海盛,预亏,2016-08-09,0.18,0
21,600202,哈空调,预亏,2016-08-06,0.0056,0
22,600098,广州发展,预降,2016-08-06,0.1959,-6.87
23,600422,昆药集团,预升,2016-08-06,0.6325,12.24
24,600137,浪莎股份,预增,2016-08-05,0.011,190.81
25,601058,赛轮金宇,预增,2016-08-05,0.1,90%~110%
26,601009,南京银行,预升,2016-08-05,1.2,22.25
27,600848,上海临港,预升,2016-08-05,0.0077,37.4
28,002623,亚玛顿,预降,2016-08-05,0.29,-35.44
29,600875,东方电气,预亏,2016-08-04,0.08,0
30,600578,京能电力,预降,2016-08-04,0.28,-47.44
31,300340,科恒股份,预盈,2016-08-04,-0.0963,0
32,603609,禾丰牧业,预增,2016-08-03,0.21,55.99
33,002604,龙力生物,预升,2016-08-03,0.1,12%~41%
34,600765,中航重机,预增,2016-08-03,0.02,0
35,600689,上海三毛,预亏,2016-08-02,-0.055,0
36,002697,红旗连锁,预升,2016-08-02,0.15,-15%~3%
37,000899,赣能股份,预降,2016-08-02,0.413,-4.17
38,600036,招商银行,预升,2016-08-02,1.31,6.84
39,002608,*ST舜船,减亏,2016-08-02,-0.97,0
40,600425,青松建化,减亏,2016-08-02,-0.169,26.41
41,000798,中水渔业,预亏,2016-08-02,0.0617,0
42,600297,广汇汽车,预增,2016-08-01,0.2942,50%~60%
43,002074,国轩高科,预增,2016-08-01,0.37,141.09
44,600126,杭钢股份,预盈,2016-07-30,-0.35,0
45,600111,北方稀土,预减,2016-07-30,0.072,-90%~-80%
46,002028,思源电气,预升,2016-07-30,0.23,2.49
47,002033,丽江旅游,预升,2016-07-30,0.26,6.2
48,002045,国光电器,预降,2016-07-30,0.01,-27.99
49,002194,武汉凡谷,预降,2016-07-30,0.07,-46.97
50,002689,远大智能,预降,2016-07-30,0.0642,-43.82
51,002425,凯撒股份,预增,2016-07-30,0.039,188.29
52,002030,达安基因,预升,2016-07-30,0.09,6.64
53,002102,冠福股份,预增,2016-07-30,0.04,187.93
54,002027,分众传媒,预升,2016-07-30,0.0008,23.6
55,002147,新光圆成,预亏,2016-07-30,-0.069,-153.24
56,002292,奥飞娱乐,预升,2016-07-30,0.2,14.83
57,002188,巴士在线,预盈,2016-07-30,-0.06,229.69
58,600655,豫园商城,预减,2016-07-30,0.285,-70
59,002411,必康股份,预增,2016-07-30,0.0152,154.47
60,002192,融捷股份,预盈,2016-07-30,-0.13,105.96
61,002212,南洋股份,预增,2016-07-30,0.06,56.39
62,002512,达华智能,预增,2016-07-30,0.04,116.97
63,002062,宏润建设,预升,2016-07-30,0.12,5.72
64,002235,安妮股份,预降,2016-07-30,0.03,-9.77
65,002609,捷顺科技,预升,2016-07-30,0.053,46.71
66,002347,泰尔重工,预升,2016-07-30,0.0359,27.93
67,002140,东华科技,预降,2016-07-30,0.1818,-27.52
68,002431,棕榈股份,预减,2016-07-30,0.25,-56.87
69,002696,百洋股份,预增,2016-07-30,0.0411,90.89
70,600258,首旅酒店,预减,2016-07-30,0.1811,-80%~-60%
71,600259,广晟有色,预亏,2016-07-30,-0.13,0
72,000042,中洲控股,预减,2016-07-30,0.8744,-92.67
73,601028,玉龙股份,预减,2016-07-30,0.11,-69%~-62%
74,002758,华通医药,预升,2016-07-30,0.46,0.7
75,601099,太平洋,预减,2016-07-30,0.26,-83.97
76,002055,得润电子,预升,2016-07-30,0.1238,0.9
77,601231,环旭电子,预降,2016-07-30,0.11,-8.65
78,002472,双环传动,预升,2016-07-30,0.22,33.29
79,603616,韩建河山,预亏,2016-07-30,0.09,0
80,601628,中国人寿,预减,2016-07-30,1.11,-70%~-65%
81,002322,理工环科,预增,2016-07-30,0.01,846.17
82,601601,中国太保,预降,2016-07-30,1.25,-46
83,002373,千方科技,预升,2016-07-30,0.22,19.49
84,600782,新钢股份,预盈,2016-07-30,-0.1,0
85,002296,辉煌科技,预升,2016-07-30,0.0824,25.12
86,600050,中国联通,预减,2016-07-30,0.1087,-80
87,600321,国栋建设,预亏,2016-07-30,0.014,0
88,002537,海立美达,预降,2016-07-30,0.27,-31.73
89,600026,中海发展,预增,2016-07-30,0.0762,100%~150%
90,002540,亚太科技,预升,2016-07-30,0.1339,2.38
91,002607,亚夏汽车,预增,2016-07-30,0.007,1145.23
92,002650,加加食品,预降,2016-07-30,0.32,-34.01
93,002321,华英农业,预增,2016-07-30,0.049,223.69
94,002010,传化股份,预增,2016-07-30,0.21,249.79
95,600461,洪城水业,预升,2016-07-30,0.32,0%~10%
96,600675,*ST中企,减亏,2016-07-30,-0.396,0
97,600281,太化股份,预亏,2016-07-30,-0.034,0
98,002505,大康农业,预降,2016-07-30,0.004,-13.77
99,002064,华峰氨纶,预亏,2016-07-30,0.22,-320.91
100,002127,南极电商,预增,2016-07-30,0.01,156.13
