,code,name,type,report_date,pre_eps,range
0,002496,辉丰股份,预降,2016-04-30,0.15,-10%~0%
1,002069,*ST獐岛,减亏,2016-04-30,-0.01,0
2,002567,唐人神,预增,2016-04-29,0.037,50%~70%
3,000835,长城动漫,预亏,2016-04-29,-0.0115,0
4,002335,科华恒盛,预增,2016-04-29,0.05,100%~150%
5,300512,中亚股份,预升,2016-04-29,0.29,0
6,002798,帝王洁具,减亏,2016-04-28,0.0,0
7,600366,宁波韵升,预增,2016-04-27,0.1944,510%~560%
8,603339,四方冷链,预降,2016-04-27,0.19,-20%~0%
9,300433,蓝思科技,预减,2016-04-26,0.67,-60%~-55%
10,002390,信邦制药,预升,2016-04-26,0.07,10%~40%
11,002259,升达林业,预亏,2016-04-26,-0.01,0
12,002070,众和股份,预盈,2016-04-26,-0.0275,0
13,002098,浔兴股份,预增,2016-04-26,0.007,400.64%~446.15%
14,002711,欧浦智网,预增,2016-04-26,0.18,50%~80%
15,002211,宏达新材,预亏,2016-04-26,0.0029,0
16,600892,大晟文化,预盈,2016-04-26,-0.0066,0
17,002511,中顺洁柔,预增,2016-04-26,0.0548,90%~120%
18,002263,大东南,预亏,2016-04-26,-0.01,0
19,002493,荣盛石化,预增,2016-04-26,0.01,741.04%~1043.82%
20,600487,亨通光电,预增,2016-04-26,0.1212,100%~130%
21,603959,百利科技,减亏,2016-04-26,0.0,43.43%~52.85%
22,002175,东方网络,预增,2016-04-25,0.0038,420%~530%
23,002299,圣农发展,预盈,2016-04-25,-0.214,0
24,002713,东易日盛,预亏,2016-04-25,-0.53,0
25,002786,银宝山新,预增,2016-04-25,0.12,129.43%~177.61%
26,002797,第一创业,预减,2016-04-25,0.11,-77%~-45%
27,002796,世嘉科技,预降,2016-04-25,0.11,-30%~0%
28,601168,西部矿业,预亏,2016-04-23,-0.02,0
29,600360,华微电子,预升,2016-04-23,0.01,12.44
30,002524,光正集团,预亏,2016-04-23,0.03,0
31,600226,升华拜克,预增,2016-04-23,0.1,60%~100%
32,600397,安源煤业,预亏,2016-04-22,0.0009,0
33,600410,华胜天成,预减,2016-04-22,0.0494,-80
34,600755,厦门国贸,预增,2016-04-22,0.08,180%~200%
35,002519,银河电子,预升,2016-04-22,0.17,20%~50%
36,002420,毅昌股份,预亏,2016-04-22,0.015,0
37,002565,上海绿新,预增,2016-04-22,0.01,230%~270%
38,002309,中利科技,预盈,2016-04-22,-0.09,0
39,002610,爱康科技,预增,2016-04-22,0.03,10.07%~55.93%
40,002782,可立克,预增,2016-04-22,0.08,58.83%~88.61%
41,002446,盛路通信,预增,2016-04-22,0.13,125.15%~172.06%
42,002787,华源包装,预增,2016-04-21,0.15,50%~100%
43,002182,云海金属,预增,2016-04-21,0.0128,413.65%~462.31%
44,002702,海欣食品,预盈,2016-04-21,-0.0264,0
45,002693,双成药业,预亏,2016-04-21,0.01,0
46,601628,中国人寿,预减,2016-04-21,0.43,-60%~-55%
47,600123,兰花科创,预亏,2016-04-21,0.0075,0
48,600176,中国巨石,预增,2016-04-21,0.2128,85%~95%
49,002059,云南旅游,预亏,2016-04-21,-0.008,0
50,002607,亚夏汽车,预盈,2016-04-21,-0.04,0
51,002167,东方锆业,减亏,2016-04-21,-0.06,0
52,002734,利民股份,预增,2016-04-21,0.15,80%~115%
53,002589,瑞康医药,预增,2016-04-20,0.215,50%~80%
54,600348,阳泉煤业,预减,2016-04-20,0.03,-90%~-75%
55,600460,士兰微,0,2016-04-20,0.02,-80%
56,600026,中海发展,预增,2016-04-20,0.018,0
57,603726,朗迪集团,预降,2016-04-20,0.16,-15%~-5%
58,000669,金鸿能源,预升,2016-04-20,0.1541,10%~20%
59,000544,中原环保,预减,2016-04-19,0.08,0
60,603011,合锻智能,预增,2016-04-19,0.03,70%~100%
61,600628,新世界,预减,2016-04-19,0.08,-70%~-65%
62,600177,雅戈尔,预增,2016-04-19,0.6235,60%~80%
63,600346,*ST橡塑,预盈,2016-04-19,-0.11,0
64,002181,粤传媒,预亏,2016-04-19,0.0056,0
65,002782,可立克,预增,2016-04-19,0.08,58.83%~88.61%
66,002100,天康生物,预增,2016-04-19,0.12,70%~100%
67,601238,广汽集团,预增,2016-04-19,0.08,240%~270%
68,600189,吉林森工,预盈,2016-04-19,-0.15,0
69,600050,中国联通,预减,2016-04-19,0.0495,-86
70,600330,天通股份,预增,2016-04-19,0.018,320
71,600105,永鼎股份,预增,2016-04-19,0.045,0
72,000890,法尔胜,预升,2016-04-19,0.0047,-50%~50%
73,002127,南极电商,预增,2016-04-18,0.01,259.51%~307.45%
74,002418,康盛股份,预增,2016-04-18,0.01,66.92%~91.96%
75,300510,金冠电气,预盈,2016-04-18,0.08,0
76,000789,万年青,预减,2016-04-16,0.1413,-95%~-85%
77,000010,美丽生态,预亏,2016-04-16,-0.0037,0
78,600640,号百控股,预减,2016-04-16,0.022,-51
79,600794,保税科技,预减,2016-04-16,0.021,-70
80,000821,京山轻机,预减,2016-04-16,0.07,-99.58%~-95.82%
81,601003,柳钢股份,预盈,2016-04-16,-0.1354,0
82,600375,*ST星马,减亏,2016-04-16,-0.17,0
83,600178,东安动力,预盈,2016-04-16,-0.0295,0
84,600161,天坛生物,预亏,2016-04-16,0.02,0
85,002746,仙坛股份,预增,2016-04-16,0.02,698.75%~739.72%
86,002106,莱宝高科,预盈,2016-04-16,-0.0701,0
87,000693,ST华泽,预亏,2016-04-16,-0.0132,0
88,000426,兴业矿业,预亏,2016-04-15,0.0131,-166.06%~-126.42%
89,000820,金城股份,预亏,2016-04-15,-0.003,0
90,000567,海德股份,预增,2016-04-15,0.0035,239.43%~352.57%
91,000800,一汽轿车,预亏,2016-04-15,0.0846,-424%~-394%
92,000913,*ST钱江,预增,2016-04-15,0.01,570%~618%
93,000925,众合科技,预亏,2016-04-15,0.003,0
94,000881,大连国际,预减,2016-04-15,0.05,-99.64%~-96.41%
95,000585,东北电气,预亏,2016-04-15,-0.003,0
96,000811,烟台冰轮,预减,2016-04-15,0.09,-100%~-80%
97,000949,新乡化纤,预降,2016-04-15,0.0196,-60%~-45%
98,000096,广聚能源,预减,2016-04-15,0.2626,-94
99,002658,雪迪龙,预减,2016-04-15,0.05,-70%~-50%
100,000608,阳光股份,减亏,2016-04-15,-0.07,4%~43%
101,000622,*ST恒立,减亏,2016-04-15,-0.015,0
102,000972,中基健康,预亏,2016-04-15,-0.0114,0
103,000534,万泽股份,预亏,2016-04-15,0.0289,0
104,000539,粤电力A,预减,2016-04-15,0.17,-90%~-82%
105,000628,高新发展,预盈,2016-04-15,-0.048,0
106,000863,三湘股份,预盈,2016-04-15,-0.07,713.22
107,000617,*ST济柴,预亏,2016-04-15,0.01,0
108,000831,*ST五稀,预亏,2016-04-15,0.003,0
109,002141,蓉胜超微,预盈,2016-04-15,-0.0169,0
110,000425,徐工机械,预盈,2016-04-15,-0.17,0
111,000753,漳州发展,预增,2016-04-15,0.006,0
112,000627,天茂集团,预盈,2016-04-15,-0.015,0
113,000657,中钨高新,减亏,2016-04-15,-0.1309,0
114,000662,天夏智慧,预亏,2016-04-15,-0.0011,0
115,600259,广晟有色,预亏,2016-04-15,0.01,0
116,000978,桂林旅游,减亏,2016-04-15,-0.038,0
117,000607,华媒控股,预亏,2016-04-15,0.0002,-6772.02%~-5521.02%
118,000859,国风塑业,预亏,2016-04-15,-0.015,0
119,000677,恒天海龙,预盈,2016-04-15,-0.1038,0
120,002676,顺威股份,预降,2016-04-15,0.04,-35%~-10%
121,000420,吉林化纤,预盈,2016-04-15,-0.0551,103%~113%
122,000825,太钢不锈,预亏,2016-04-15,0.003,0
123,000573,粤宏远A,预盈,2016-04-15,-0.0232,0
124,000612,焦作万方,预亏,2016-04-15,0.023,-227.42%~-191.01%
125,000428,华天酒店,预亏,2016-04-15,-0.07,0
126,000731,四川美丰,预亏,2016-04-15,0.0296,0
127,000953,河池化工,预盈,2016-04-15,-0.0586,0
128,000687,华讯方舟,预盈,2016-04-15,-0.068,0
129,000066,长城电脑,减亏,2016-04-15,-0.0654,0
130,000760,斯太尔,预亏,2016-04-15,-0.04,0
131,600917,重庆燃气,预升,2016-04-15,0.05,13.14
132,000518,四环生物,预亏,2016-04-15,0.0098,0
133,000901,航天科技,预盈,2016-04-15,-0.01,0
134,002056,横店东磁,预升,2016-04-15,0.17,30%~50%
135,000898,鞍钢股份,预亏,2016-04-15,0.003,0
136,000960,锡业股份,减亏,2016-04-15,-0.2668,90.91%~93.94%
137,000679,大连友谊,预减,2016-04-15,0.35,-87%~-84%
138,000678,襄阳轴承,预亏,2016-04-15,-0.009,0
139,000766,通化金马,预增,2016-04-15,0.0312,174.97%~207.38%
140,600310,桂东电力,预盈,2016-04-15,-0.1832,0
141,000070,特发信息,预增,2016-04-15,0.0497,145%~175%
142,601933,永辉超市,预升,2016-04-15,0.11,29.75
143,000597,东北制药,减亏,2016-04-15,-0.07,0
144,000401,冀东水泥,预亏,2016-04-15,-0.445,0
145,000725,京东方A,预减,2016-04-15,0.028,0
146,000977,浪潮信息,预增,2016-04-15,0.1439,60%~90%
147,000663,永安林业,预亏,2016-04-15,-0.004,0
148,000615,京汉股份,预减,2016-04-15,0.47,-97.22%~-96.76%
149,000560,昆百大A,预增,2016-04-15,0.0145,527.23%~648.62%
150,000809,铁岭新城,预亏,2016-04-15,-0.013,0
151,000008,神州高铁,预减,2016-04-15,0.0766,-83.65%~-80.37%
152,000587,金洲慈航,预增,2016-04-15,0.06,339%~367%
153,000806,银河生物,预亏,2016-04-15,0.0382,-153.83%~-137.52%
154,000526,紫光学大,预亏,2016-04-15,0.0175,-141.54%~-129.67%
155,000933,*ST神火,预盈,2016-04-15,-0.05,0
156,000993,闽东电力,预盈,2016-04-15,-0.0383,0
157,000019,深深宝A,减亏,2016-04-15,-0.0316,0
158,000830,鲁西化工,预减,2016-04-15,0.07,-90%~-80%
159,000416,民生控股,预亏,2016-04-15,0.0226,0
160,000636,风华高科,预增,2016-04-15,0.01,537.05
161,000736,中房地产,预亏,2016-04-15,0.014,-236.92
162,000748,长城信息,预盈,2016-04-15,-0.0062,0
163,000968,*ST煤气,预亏,2016-04-15,-0.4249,0
164,000007,全新好,预盈,2016-04-15,-0.0211,0
165,000982,中银绒业,预亏,2016-04-15,0.002,0
166,600288,大恒科技,预亏,2016-04-15,-0.0103,0
167,000606,*ST易桥,减亏,2016-04-15,-0.0423,0
168,000519,江南红箭,预减,2016-04-15,0.07,-83.1%~-79.35%
169,000980,金马股份,预升,2016-04-15,0.04,23%~47%
170,000507,珠海港,预盈,2016-04-15,-0.0244,205.04%~254.97%
171,002179,中航光电,预增,2016-04-15,0.1802,70%~100%
172,000976,春晖股份,预盈,2016-04-15,-0.0248,0
173,000004,国农科技,预亏,2016-04-15,-0.0221,-88.81%~19.08%
174,000546,金圆股份,减亏,2016-04-15,-0.0588,0
175,000833,贵糖股份,预亏,2016-04-15,0.0112,-154.46%~-113.62%
176,002420,毅昌股份,预亏,2016-04-15,0.015,0
177,000561,烽火电子,减亏,2016-04-15,-0.03,0
178,000576,广东甘化,预亏,2016-04-15,-0.0297,0
179,000557,西部创业,预亏,2016-04-15,0.0002,0
180,000897,津滨发展,减亏,2016-04-15,-0.0227,0
181,000837,秦川机床,预亏,2016-04-15,-0.0313,0
182,000918,嘉凯城,预亏,2016-04-15,-0.08,0
183,000402,金融街,预降,2016-04-15,0.27,-5%
184,000672,上峰水泥,预亏,2016-04-15,0.04,0
185,000802,北京文化,预亏,2016-04-15,-0.0047,0
186,000932,华菱钢铁,预亏,2016-04-15,-0.0564,0
187,000595,宝塔实业,减亏,2016-04-15,-0.081,0
188,000038,深大通,预盈,2016-04-15,-0.006,0
189,000630,铜陵有色,预亏,2016-04-15,0.03,-282%~-253%
190,000950,*ST建峰,预亏,2016-04-15,-0.15,0
191,000680,山推股份,预盈,2016-04-15,-0.0554,0
192,000723,美锦能源,减亏,2016-04-15,-0.043,0
193,000155,*ST川化,减亏,2016-04-15,-0.11,0
194,000589,黔轮胎A,预亏,2016-04-15,0.06,0
195,000413,东旭光电,预增,2016-04-15,0.08,89.55%~121.14%
196,000528,柳工,预减,2016-04-15,0.0652,-100%~-50%
197,000815,美利云,减亏,2016-04-15,-0.2,62.07%~65.23%
198,000927,一汽夏利,减亏,2016-04-15,-0.1612,0
199,000629,*ST钒钛,预盈,2016-04-15,-0.0376,0
200,000027,深圳能源,预降,2016-04-15,0.1378,-60%~-40%
201,000505,*ST珠江,预亏,2016-04-15,0.16,0
202,000948,南天信息,减亏,2016-04-15,-0.26,0
203,000591,太阳能,预减,2016-04-15,0.0375,-52.91
204,002387,黑牛食品,减亏,2016-04-15,-0.059,0
205,000060,中金岭南,预亏,2016-04-15,0.028,0
206,000767,漳泽电力,预亏,2016-04-15,0.03,-316%~-304%
207,000034,神州数码,预亏,2016-04-15,0.064,-126.1
208,000509,华塑控股,预亏,2016-04-15,-0.0141,0
209,000510,金路集团,预盈,2016-04-15,-0.0865,0
210,000157,中联重科,预亏,2016-04-15,-0.05,0
211,002114,罗平锌电,预亏,2016-04-15,-0.06,0
212,000036,华联控股,预盈,2016-04-15,-0.008,0
213,000668,荣丰控股,预亏,2016-04-15,-0.07,0
214,002648,卫星石化,预盈,2016-04-15,-0.18,101.99
215,000638,万方发展,预盈,2016-04-15,-0.0167,254.8%~293.5%
216,000659,珠海中富,预亏,2016-04-15,-0.03,0
217,000611,*ST天首,预亏,2016-04-15,-0.0226,0
218,000990,诚志股份,预亏,2016-04-15,0.007,-795.44%~-682.66%
219,000801,四川九洲,预增,2016-04-15,0.0235,38.82%~66.59%
220,000807,云铝股份,减亏,2016-04-15,-0.05,0
221,000735,罗牛山,预减,2016-04-15,0.018,-87.1%~-67.76%
222,000955,欣龙控股,减亏,2016-04-15,-0.02,0
223,000558,莱茵体育,预增,2016-04-15,0.0033,0
224,000656,金科股份,预增,2016-04-15,0.09,125%~155%
225,000586,汇源通信,预亏,2016-04-15,-0.006,0
226,000040,东旭蓝天,预增,2016-04-15,0.014,339.09%~369.9%
227,000025,特力A,预增,2016-04-15,0.0032,535%~788%
228,000005,世纪星源,减亏,2016-04-15,-0.0088,0
229,000536,华映科技,预增,2016-04-15,0.0392,79.91%~112.63%
230,000792,盐湖股份,预增,2016-04-15,0.0084,0
